Company_Name,Category,Address,Url,latitude,longtitude,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Cancer Hospital,Hospital,"5Q58+X3C, Bhangagarh, Guwahati, Assam 781007, India",https://www.google.co.kr/maps/place/Cancer+Hospital/data=!4m5!3m4!1s0x375a596e21aac1ff:0x23f85a3aed117027!8m2!3d26.159925!4d91.7651447?authuser=0&hl=en&rclk=1,26.159925,91.7651447,,,,,,,
Mahendra Mohan Choudhury Hospital,General hospital,"MG Road, Fancy Bazaar, Guwahati, Assam 781001, India",https://www.google.co.kr/maps/place/Mahendra+Mohan+Choudhury+Hospital/data=!4m5!3m4!1s0x375a5a3a132c4573:0x4f3420c9d5a33d8!8m2!3d26.1855023!4d91.7405819?authuser=0&hl=en&rclk=1,26.1855023,91.7405819,,,,,,,
Maina Khurung Model Hospital,Hospital,"4P45+324, GARCHUK, Guwahati, Assam 781035, India",https://www.google.co.kr/maps/place/Maina+Khurung+Model+Hospital/data=!4m5!3m4!1s0x375a5dfcf12efd0b:0xab9e37ed104f0a49!8m2!3d26.1051267!4d91.7075744?authuser=0&hl=en&rclk=1,26.1051267,91.7075744,,,,,,,
Sun Valley Hospital,General hospital,"GS Rd, Mathura Nagar, Bormotoria, Guwahati, Assam 781022, India",https://www.google.co.kr/maps/place/Sun+Valley+Hospital/data=!4m5!3m4!1s0x375a58daeb8993c1:0x4df8cb82405720ca!8m2!3d26.1382879!4d91.8010681?authuser=0&hl=en&rclk=1,26.1382879,91.8010681,,,,,,,
"District Hospital, Sonapur Kamrup Metro",Hospital,"NH 27, Amara N.C., Assam 782402, India","https://www.google.co.kr/maps/place/District+Hospital,+Sonapur+Kamrup+Metro/data=!4m5!3m4!1s0x375af21d6f0b974f:0x8b2a214c3b415da4!8m2!3d26.1216132!4d91.9767002?authuser=0&hl=en&rclk=1",26.1216132,91.9767002,,,,,,,
Samoguri Hospital,Hospital,"CVC3+6C7, Kuruabahi, Assam 782140, India",https://www.google.co.kr/maps/place/Samoguri+Hospital/data=!4m5!3m4!1s0x3744e1bf83bc7d8b:0x2e6c57cc3583de48!8m2!3d26.4205421!4d92.8535338?authuser=0&hl=en&rclk=1,26.4205421,92.8535338,,,,,,,
GNRC Hospital,Hospital,"Super Market, GNRC Rd, Dispur, Rukmini Gaon, Guwahati, Assam 781005, India",https://www.google.co.kr/maps/place/GNRC+Hospital/data=!4m5!3m4!1s0x375a58d85b0d032f:0x5e121ca48b961c42!8m2!3d26.1389556!4d91.7944378?authuser=0&hl=en&rclk=1,26.1389556,91.7944378,,,,,,,
"Central Government Health Scheme (CGHS) Wellness Centre -4,Ministry of Health and Family Welfare, Government of India",Hospital,"Pan Bazaar, Guwahati, Assam 781001, India","https://www.google.co.kr/maps/place/Central+Government+Health+Scheme+(CGHS)+Wellness+Centre+-4,Ministry+of+Health+and+Family+Welfare,+Government+of+India/data=!4m5!3m4!1s0x375a5a256b7e57bb:0xfb41980deff42b35!8m2!3d26.1857937!4d91.7456592?authuser=0&hl=en&rclk=1",26.1857937,91.7456592,,,,,,,
Mental Hospital,Hospital,"Ex Police Line Rd, Mahabhairab, Tezpur, Assam 784001, India",https://www.google.co.kr/maps/place/Mental+Hospital/data=!4m5!3m4!1s0x3744e8347f548597:0xa3c4ec007af7945!8m2!3d26.6299627!4d92.8108129?authuser=0&hl=en&rclk=1,26.6299627,92.8108129,,,,,,,
Lankeshwari Hospital & Research Centre,Hospital,"Nagaon Rd, Lanka, Assam 782442, India",https://www.google.co.kr/maps/place/Lankeshwari+Hospital+%26+Research+Centre/data=!4m5!3m4!1s0x37457373783e6241:0x94968e811bee3165!8m2!3d25.927664!4d92.952777?authuser=0&hl=en&rclk=1,25.927664,92.952777,,,,,,,
Old Civil Hospital,Hospital,"PF3G+PWR, Dhekiajuli, Assam 784110, India",https://www.google.co.kr/maps/place/Old+Civil+Hospital/data=!4m5!3m4!1s0x3744cb408398e4cd:0xc950854d1b606a64!8m2!3d26.704375!4d92.4772616?authuser=0&hl=en&rclk=1,26.704375,92.4772616,,,,,,,
Mission Hospital,Hospital,"P6Q2+CFV, Barbheta, Jorhat, Assam 785001, India",https://www.google.co.kr/maps/place/Mission+Hospital/data=!4m5!3m4!1s0x3746c28317a89a0b:0xf583abcdc799d283!8m2!3d26.7386151!4d94.2011584?authuser=0&hl=en&rclk=1,26.7386151,94.2011584,,,,,,,
Jorhat Christian Medical Centre,Hospital,"P6Q2+876, Barbheta, Jorhat, Assam 785001, India",https://www.google.co.kr/maps/place/Jorhat+Christian+Medical+Centre/data=!4m5!3m4!1s0x3746c28304d11113:0xabeab2f62faa73b6!8m2!3d26.7382753!4d94.200638?authuser=0&hl=en&rclk=1,26.7382753,94.200638,,,,,,,
ULUBARI RPHC,Hospital,"Village- Ulubari, PO- Doloigaon, P/S- Bhelowguri District- Morigaon, State-Assam, 782126, India",https://www.google.co.kr/maps/place/ULUBARI+RPHC/data=!4m5!3m4!1s0x375b29775ee884a1:0xbc40188bcf4160e3!8m2!3d26.4517049!4d92.3712961?authuser=0&hl=en&rclk=1,26.4517049,92.3712961,,,,,,,
Tamulpur State Hospital,Hospital,"JH7F+XG3, Barkhopa, Assam 781367, India",https://www.google.co.kr/maps/place/Tamulpur+State+Hospital/data=!4m5!3m4!1s0x375bb9c47a158925:0x497de914f9d2d29a!8m2!3d26.6148941!4d91.5737855?authuser=0&hl=en&rclk=1,26.6148941,91.5737855,,,,,,,
Aruna Memorial Hospital,Hospital,"Rajgarh Rd, SATSANG VIHAR, Bhangagarh, Guwahati, Assam 781005, India",https://www.google.co.kr/maps/place/Aruna+Memorial+Hospital/data=!4m5!3m4!1s0x375a5973f78d6627:0xd1a9fa527479c426!8m2!3d26.1661234!4d91.7689558?authuser=0&hl=en&rclk=1,26.1661234,91.7689558,,,,,,,
Down Town Hospital,General hospital,"GS Rd, Bormotoria, Guwahati, Assam 781006, India",https://www.google.co.kr/maps/place/Down+Town+Hospital/data=!4m5!3m4!1s0x375a58da452a4b35:0x12fc40f65c6d1a5c!8m2!3d26.1391639!4d91.7993515?authuser=0&hl=en&rclk=1,26.1391639,91.7993515,,,,,,,
Makunda Mission Hospital,General hospital,"98XQ+V28, Dakshin Sagolmar, Assam 788727, India",https://www.google.co.kr/maps/place/Makunda+Mission+Hospital/data=!4m5!3m4!1s0x3751e569b1eddcd9:0x6f18962d54d4182a!8m2!3d24.3996505!4d92.3375817?authuser=0&hl=en&rclk=1,24.3996505,92.3375817,,,,,,,
Smaguri Hospital,Hospital,"CV92+WJH, Kuruabahi, Assam 782140, India",https://www.google.co.kr/maps/place/Smaguri+Hospital/data=!4m5!3m4!1s0x3744e18c1792fdf5:0x78af838ff3dc5338!8m2!3d26.4198193!4d92.8515944?authuser=0&hl=en&rclk=1,26.4198193,92.8515944,,,,,,,
Nagaon Nursing & Maternity Home,Hospital,"No 2 Mullapatty, Haibargaon, Nagaon, Assam 782002, India",https://www.google.co.kr/maps/place/Nagaon+Nursing+%26+Maternity+Home/data=!4m5!3m4!1s0x37452702c7459b35:0x90471555655ad79d!8m2!3d26.348989!4d92.6676835?authuser=0&hl=en&rclk=1,26.348989,92.6676835,,,,,,,
Hospital,Hospital,"JH3W+MJX, Rajyeswarpur Pt II, Assam 788168, India",https://www.google.co.kr/maps/place/Hospital/data=!4m5!3m4!1s0x374e2498df80100b:0xd8a5ed373f0f042a!8m2!3d24.6042421!4d92.5966063?authuser=0&hl=en&rclk=1,24.6042421,92.5966063,,,,,,,
North East Cancer Hospital and Research Institute,Cancer treatment center,"11th Mile, GS Rd, Amerigog, Jorabat, Assam 781023, India",https://www.google.co.kr/maps/place/North+East+Cancer+Hospital+and+Research+Institute/data=!4m5!3m4!1s0x375af5b5522fdfbb:0x62b72206e3a6b1c1!8m2!3d26.1006948!4d91.8699278?authuser=0&hl=en&rclk=1,26.1006948,91.8699278,,,,,,,
Khoirabari Hospital,Hospital,"HRR8+6WX, Khoirabari, Assam 784522, India",https://www.google.co.kr/maps/place/Khoirabari+Hospital/data=!4m5!3m4!1s0x375ba80eab1e0727:0x47d884114994eb0a!8m2!3d26.5906136!4d91.8173606?authuser=0&hl=en&rclk=1,26.5906136,91.8173606,,,,,,,
Sanjibani Hospital,Hospital,"Pavoi Rd, Japow Bari, Assam 784176, India",https://www.google.co.kr/maps/place/Sanjibani+Hospital/data=!4m5!3m4!1s0x374460bdea086313:0xf3ec6bd998b5878d!8m2!3d26.7782415!4d93.1591332?authuser=0&hl=en&rclk=1,26.7782415,93.1591332,,,,,,,
International Hospital,Hospital,"5Q3J+G9X, Ganeshguri, Guwahati, Assam 781006, India",https://www.google.co.kr/maps/place/International+Hospital/data=!4m5!3m4!1s0x375a59a5f67f9add:0xd630a40a2569360!8m2!3d26.1538691!4d91.7809697?authuser=0&hl=en&rclk=1,26.1538691,91.7809697,,,,,,,
AMCH casualty department,Hospital,"Dibrugarh, Assam 786001, India",https://www.google.co.kr/maps/place/AMCH+casualty+department/data=!4m5!3m4!1s0x374098f46e9144c3:0xe2e2327a9d98d714!8m2!3d27.4896508!4d94.9394173?authuser=0&hl=en&rclk=1,27.4896508,94.9394173,,,,,,,
Bezera CHC,Hospital,"Baihata-Goreswar Rd, North Guwahati, Bezera, Assam 781121, India",https://www.google.co.kr/maps/place/Bezera+CHC/data=!4m5!3m4!1s0x375a5447c0624173:0x4c13dc6622fc5962!8m2!3d26.3391935!4d91.7819391?authuser=0&hl=en&rclk=1,26.3391935,91.7819391,,,,,,,
G. D Hospital & Research Centre.,Hospital,"Haibargaon Khuti Katia, Nagaon, Assam 782002, India",https://www.google.co.kr/maps/place/G.+D+Hospital+%26+Research+Centre./data=!4m5!3m4!1s0x3745271df1bc335b:0x68cd1f889e6ca8b3!8m2!3d26.3480508!4d92.6725522?authuser=0&hl=en&rclk=1,26.3480508,92.6725522,,,,,,,
Health Care Center,Hospital,"Uria Gaon, Nagaon, NH-37, AT Road, Nagaon, Nagaon, Assam 782003, India",https://www.google.co.kr/maps/place/Health+Care+Center/data=!4m5!3m4!1s0x374521acaee86e87:0x2c5b1d3190d938e1!8m2!3d26.345526!4d92.743537?authuser=0&hl=en&rclk=1,26.345526,92.743537,,,,,,,
ERC Eye Care Hub Hospital,Hospital,"Panigaon, Nagaon, Assam 782001, India",https://www.google.co.kr/maps/place/ERC+Eye+Care+Hub+Hospital/data=!4m5!3m4!1s0x374520d768982727:0x94975e95ff089818!8m2!3d26.350576!4d92.7090013?authuser=0&hl=en&rclk=1,26.350576,92.7090013,,,,,,,
Baptist Christian Hospital,Hospital,"Mission Chariali, Ketekibari, Tezpur, Assam 784001, India",https://www.google.co.kr/maps/place/Baptist+Christian+Hospital/data=!4m5!3m4!1s0x3744c20caf36fd9b:0x9bba5203c5b961c1!8m2!3d26.6526312!4d92.7726626?authuser=0&hl=en&rclk=1,26.6526312,92.7726626,,,,,,,
Swagat Super Speciality Surgical Hospital,Hospital,"Assam Trunk Rd, Maligaon, Guwahati, Assam 781010, India",https://www.google.co.kr/maps/place/Swagat+Super+Speciality+Surgical+Hospital/data=!4m5!3m4!1s0x375a5a33dda16881:0x4858c1c8eceabb07!8m2!3d26.1603384!4d91.7074407?authuser=0&hl=en&rclk=1,26.1603384,91.7074407,,,,,,,
Naltoli PHC,Hospital,"HV2V+677, Dhanekhowa, Assam 782143, India",https://www.google.co.kr/maps/place/Naltoli+PHC/data=!4m5!3m4!1s0x3744e5a15b66cfad:0xa43a2c1cd7082902!8m2!3d26.550529!4d92.8931674?authuser=0&hl=en&rclk=1,26.550529,92.8931674,,,,,,,
Burrows Memorial Christian Hospital,Hospital,"RWFX+GHF, Monipur Pt II, Assam 788101, India",https://www.google.co.kr/maps/place/Burrows+Memorial+Christian+Hospital/data=!4m5!3m4!1s0x374e5263166999d7:0xd1a644d5dc448a9c!8m2!3d24.8238108!4d92.9489172?authuser=0&hl=en&rclk=1,24.8238108,92.9489172,,,,,,,
Kharupetia Civil Hospital,Hospital,"Kharupetia-Udalguri Rd, Kharupetia, Assam 784115, India",https://www.google.co.kr/maps/place/Kharupetia+Civil+Hospital/data=!4m5!3m4!1s0x375b2276ee327429:0x4030a4514bc3465b!8m2!3d26.5291552!4d92.148889?authuser=0&hl=en&rclk=1,26.5291552,92.148889,,,,,,,
Diphu Medical College & Hospital,Hospital,"RCHG+HJP, Diphu, Assam 782462, India",https://www.google.co.kr/maps/place/Diphu+Medical+College+%26+Hospital/data=!4m5!3m4!1s0x3745ed8ff2026179:0xf528345b247117e2!8m2!3d25.8289578!4d93.4265723?authuser=0&hl=en&rclk=1,25.8289578,93.4265723,,,,,,,
Mohkhuli Maternity & Child Health Hospital,Hospital,"Fakharuddin Ali Ahmed Rd, Haibargaon, Daccapatty, Nagaon, Assam 782001, India",https://www.google.co.kr/maps/place/Mohkhuli+Maternity+%26+Child+Health+Hospital/data=!4m5!3m4!1s0x374527400bccbd63:0xd87a2d63dbc409cd!8m2!3d26.3448681!4d92.6894976?authuser=0&hl=en&rclk=1,26.3448681,92.6894976,,,,,,,
M R Agarwal Hospital,Private hospital,"Digboi, Assam 786171, India",https://www.google.co.kr/maps/place/M+R+Agarwal+Hospital/data=!4m5!3m4!1s0x373f224f087e9c99:0xdf1d42783b3377e7!8m2!3d27.3993634!4d95.6170054?authuser=0&hl=en&rclk=1,27.3993634,95.6170054,,,,,,,
Nonoi Hospital,Hospital,"Nagaon, Assam 782101, India",https://www.google.co.kr/maps/place/Nonoi+Hospital/data=!4m5!3m4!1s0x3744e2bd0ccfcd07:0x3025bd406f7e9560!8m2!3d26.4040006!4d92.9188737?authuser=0&hl=en&rclk=1,26.4040006,92.9188737,,,,,,,
Hospital,Hospital,"J7MC+WQJ, Garogaon, Assam 784114, India",https://www.google.co.kr/maps/place/Hospital/data=!4m5!3m4!1s0x375b3af836e7bc33:0x2785bca83f570163!8m2!3d26.6348427!4d92.271882?authuser=0&hl=en&rclk=1,26.6348427,92.271882,,,,,,,
Sub center,Hospital,"CPHX+796, Ghunabari, Rupahi Town, Assam 782125, India",https://www.google.co.kr/maps/place/Sub+center/data=!4m5!3m4!1s0x3744dfbaab8b39e7:0xca9ab031c9af9dd5!8m2!3d26.4281638!4d92.7483887?authuser=0&hl=en&rclk=1,26.4281638,92.7483887,,,,,,,
S. A. Medical Hall,Hospital,"9HJF+RQ5, Palepara, Assam 781380, India",https://www.google.co.kr/maps/place/S.+A.+Medical+Hall/data=!4m5!3m4!1s0x375a4b141b4d3dad:0xbdbc1e8d045733ff!8m2!3d26.3820079!4d91.5744989?authuser=0&hl=en&rclk=1,26.3820079,91.5744989,,,,,,,
Ayushman Hospital,Hospital,"Lalmati, Guwahati, Assam 781040, India",https://www.google.co.kr/maps/place/Ayushman+Hospital/data=!4m5!3m4!1s0x375a5ebb74658e51:0x79dba7dabf569c2b!8m2!3d26.1086532!4d91.7658228?authuser=0&hl=en&rclk=1,26.1086532,91.7658228,,,,,,,
SGMP Hospital,Hospital,"Fayez Ahmed Rd, Near Railway Gate No. 6, Machkhowa, Guwahati, Assam 781001, India",https://www.google.co.kr/maps/place/SGMP+Hospital/data=!4m5!3m4!1s0x375a5a35170f6797:0x64a4a1a785b4f5d6!8m2!3d26.1744816!4d91.736128?authuser=0&hl=en&rclk=1,26.1744816,91.736128,,,,,,,
Lower Assam Hospital & Research Centre,Private hospital,"North, Chapaguri Rd, North Bongaigaon, Amguri, Bongaigaon, Assam 783380, India",https://www.google.co.kr/maps/place/Lower+Assam+Hospital+%26+Research+Centre/data=!4m5!3m4!1s0x3758fe93b1f9aeab:0x1d83fde193c1626f!8m2!3d26.4928619!4d90.5514783?authuser=0&hl=en&rclk=1,26.4928619,90.5514783,,,,,,,
Red Cross Hospital,Hospital,"2, Milanpur Rd, Milanpur, West Jyotinagar, Bamunimaidan, Guwahati, Assam 781004, India",https://www.google.co.kr/maps/place/Red+Cross+Hospital/data=!4m5!3m4!1s0x375a59bb0d14d293:0x7785db3581d772c2!8m2!3d26.1863237!4d91.7796011?authuser=0&hl=en&rclk=1,26.1863237,91.7796011,,,,,,,
"Health Centre, Tezpur University",Hospital,"Health Centre Rd, Napaam, Tezpur, Assam 784028, India","https://www.google.co.kr/maps/place/Health+Centre,+Tezpur+University/data=!4m5!3m4!1s0x3744ebbf47c7caa3:0xcc15a5ef277dabce!8m2!3d26.6968983!4d92.8366392?authuser=0&hl=en&rclk=1",26.6968983,92.8366392,,,,,,,
Sree Sonhar Medicine Hospital,Hospital,"Chitraban, Nagaon, Assam 782001, India",https://www.google.co.kr/maps/place/Sree+Sonhar+Medicine+Hospital/data=!4m5!3m4!1s0x3745272c92255207:0x14dfce6b2ef59162!8m2!3d26.3539816!4d92.6966421?authuser=0&hl=en&rclk=1,26.3539816,92.6966421,,,,,,,
Sanjivani Hospital,General hospital,"A.T., Choladhara Rd, Jorhat, Assam 785001, India",https://www.google.co.kr/maps/place/Sanjivani+Hospital/data=!4m5!3m4!1s0x3746c28d47a3a19d:0xe4d20c58b9580870!8m2!3d26.7574151!4d94.2013668?authuser=0&hl=en&rclk=1,26.7574151,94.2013668,,,,,,,
Bijaylakshmi Hospital & Research Centre,Private hospital,"7937+P2P, Ghasbari, Assam 782105, India",https://www.google.co.kr/maps/place/Bijaylakshmi+Hospital+%26+Research+Centre/data=!4m5!3m4!1s0x375ad19f6c064293:0xe633b566caccd2d8!8m2!3d26.2543296!4d92.3625772?authuser=0&hl=en&rclk=1,26.2543296,92.3625772,,,,,,,
Jorhat Medical College and Hospital,Hospital,"Kushal Konwar Path, Barbheta, Jorhat, Assam 785001, India",https://www.google.co.kr/maps/place/Jorhat+Medical+College+and+Hospital/data=!4m5!3m4!1s0x3746c351ba70e7c3:0xc570ce495c610d4!8m2!3d26.7425738!4d94.1951087?authuser=0&hl=en&rclk=1,26.7425738,94.1951087,,,,,,,
Hospital Chariali Apibari,Hospital,"Near FRU Hospital, Jakhalabandha, Assam, India",https://www.google.co.kr/maps/place/Hospital+Chariali+Apibari/data=!4m5!3m4!1s0x3744f07cde71122d:0xed88af6f5c3a065f!8m2!3d26.5876724!4d92.9747698?authuser=0&hl=en&rclk=1,26.5876724,92.9747698,,,,,,,
Mercy Hospital,Hospital,"Mercy Rd, Nagaon, Assam 782002, India",https://www.google.co.kr/maps/place/Mercy+Hospital/data=!4m5!3m4!1s0x374527b6e3bf4afd:0xb73dc7e5ad6bec9b!8m2!3d26.3474093!4d92.6640136?authuser=0&hl=en&rclk=1,26.3474093,92.6640136,,,,,,,
Mohkhuli Maternity & Child Health Hospital,Hospital,"Laokhowa Rd, Mohkhuli Chariali, Assam 782141, India",https://www.google.co.kr/maps/place/Mohkhuli+Maternity+%26+Child+Health+Hospital/data=!4m5!3m4!1s0x3745218b51b46359:0xda4e88da2777e5b1!8m2!3d26.3672011!4d92.7144076?authuser=0&hl=en&rclk=1,26.3672011,92.7144076,,,,,,,
Aditya Diagnostics and Hospital (Tinsukia),Hospital,"Rangagora Rd, Tinsukia, Assam 786125, India",https://www.google.co.kr/maps/place/Aditya+Diagnostics+and+Hospital+(Tinsukia)/data=!4m5!3m4!1s0x373f6b7594b7aedd:0x1c81ee2d55082610!8m2!3d27.5379943!4d95.325002?authuser=0&hl=en&rclk=1,27.5379943,95.325002,,,,,,,
Md.muksidul islam,Hospital,"Kawaimari, Assam 782140, India",https://www.google.co.kr/maps/place/Md.muksidul+islam/data=!4m5!3m4!1s0x3744e127aaaaaaab:0x67be9eb9b7c51f72!8m2!3d26.4713293!4d92.8203207?authuser=0&hl=en&rclk=1,26.4713293,92.8203207,,,,,,,
Life LineHospital,Private hospital,"ATC Mall, GNB Rd, opposite to, Tinsukia, Assam 786125, India",https://www.google.co.kr/maps/place/Life+LineHospital/data=!4m5!3m4!1s0x373f6afd6af0e389:0x3609ca87f2857eed!8m2!3d27.4926087!4d95.3609975?authuser=0&hl=en&rclk=1,27.4926087,95.3609975,,,,,,,
Raidongia Hospital,Hospital,"Karchung Satra, Assam 782002, India",https://www.google.co.kr/maps/place/Raidongia+Hospital/data=!4m5!3m4!1s0x374529fef2f70419:0x446ab0bf6c253b5b!8m2!3d26.3662017!4d92.596271?authuser=0&hl=en&rclk=1,26.3662017,92.596271,,,,,,,
District Hospital Sonapur,Government hospital,"NH 37, Amara N.C., Assam 782402, India",https://www.google.co.kr/maps/place/District+Hospital+Sonapur/data=!4m5!3m4!1s0x375af21d747953d7:0xfa8272d46ca10660!8m2!3d26.1211975!4d91.9762087?authuser=0&hl=en&rclk=1,26.1211975,91.9762087,,,,,,,
Thakur Homoeo Clinic,Hospital,"4RQ5+Q65, Madartoli, Assam 782440, India",https://www.google.co.kr/maps/place/Thakur+Homoeo+Clinic/data=!4m5!3m4!1s0x3745165b4bf2471f:0x65806c13ff4a1599!8m2!3d26.1393935!4d92.8081116?authuser=0&hl=en&rclk=1,26.1393935,92.8081116,,,,,,,
Lankeswari Nursing Home,Hospital,"WXF2+938, Lanka, Assam 782446, India",https://www.google.co.kr/maps/place/Lankeswari+Nursing+Home/data=!4m5!3m4!1s0x3745730e96c8346d:0x3eb1dc312fd692b0!8m2!3d25.9234103!4d92.9502049?authuser=0&hl=en&rclk=1,25.9234103,92.9502049,,,,,,,
Batamari SC,Hospital,"CHW8+VH5, Bata Mari, Assam 782122, India",https://www.google.co.kr/maps/place/Batamari+SC/data=!4m5!3m4!1s0x3744d6f6fb9e5397:0xbae0f96a71b183b5!8m2!3d26.4471326!4d92.5664771?authuser=0&hl=en&rclk=1,26.4471326,92.5664771,,,,,,,
Hojai District Civil Hospital,Hospital,"XWJF+WWG, Pam Gaon, Assam 782442, India",https://www.google.co.kr/maps/place/Hojai+District+Civil+Hospital/data=!4m5!3m4!1s0x37456d654a4b05f7:0x2111b429e6670465!8m2!3d25.9823012!4d92.924826?authuser=0&hl=en&rclk=1,25.9823012,92.924826,,,,,,,
Buragohain Than PHC,Hospital,"Kandoli Rd, Kasoi Guri, Assam 782144, India",https://www.google.co.kr/maps/place/Buragohain+Than+PHC/data=!4m5!3m4!1s0x374525002d11ebff:0x9737fc13266a3bd9!8m2!3d26.250413!4d92.65812?authuser=0&hl=en&rclk=1,26.250413,92.65812,,,,,,,
Starline Travels,Hospital,"Hojai, Assam 782435, India",https://www.google.co.kr/maps/place/Starline+Travels/data=!4m5!3m4!1s0x3745134d786c8ba3:0x68f1b8c257cda5f5!8m2!3d26.018862!4d92.872027?authuser=0&hl=en&rclk=1,26.018862,92.872027,,,,,,,
Krsnaa Diagnostics (MANGALDAI CIVIL HOSPITAL),Diagnostic center,"NH 52, Ward No-2, Mangaldoi, Assam 784125, India",https://www.google.co.kr/maps/place/Krsnaa+Diagnostics+(MANGALDAI+CIVIL+HOSPITAL)/data=!4m5!3m4!1s0x375b1da527c467af:0x34ce14d3d55eaf9b!8m2!3d26.4375327!4d92.0364538?authuser=0&hl=en&rclk=1,26.4375327,92.0364538,,,,,,,
Cachar Cancer Hospital and Research Centre,Cancer treatment center,"NS Ave, Meherpur, Birbal Bazar, Silchar, Assam 788015, India",https://www.google.co.kr/maps/place/Cachar+Cancer+Hospital+and+Research+Centre/data=!4m5!3m4!1s0x374e4a1f57757e09:0x5a8177c61b50c56c!8m2!3d24.7888579!4d92.7979544?authuser=0&hl=en&rclk=1,24.7888579,92.7979544,,,,,,,
Civil Hospital,Government hospital,"Kalibari Rd, Lumding, Assam 782447, India",https://www.google.co.kr/maps/place/Civil+Hospital/data=!4m5!3m4!1s0x37458386e36fc215:0x74a9afd2047c20fc!8m2!3d25.7623791!4d93.1751863?authuser=0&hl=en&rclk=1,25.7623791,93.1751863,,,,,,,
