Record Id,Company Owner ID,Sales Person,Rating,Company Name,Company Type,Territories,Shipping Street,Shipping City,Shipping Code,Billing Street,Billing City,Billing Code,Description,Custmer ID,Product,Tag,Created by ID,Modified by ID,Created Time,Modified Time,Last Activity Time,Shipping_State,Billing_State,Industry Fin
zcrm_1920545000000170029,zcrm_1920545000000117001,,Active,Private Nutritionist,,South,,,,,Mangalore,,"Ms. Monisha is a Nutritionist who is working at K.S. Medical Academy, Mangalore which is a city in Karnataka. She is setting up her own clinic and wants to purchase a portable model which she can move around for conducting events in the city. I have briefed her about IB 120 and have provided her with all the details. She will get back to me shortly.",,,,zcrm_1920545000000117001,zcrm_1920545000000097003,2016-06-07 04:05:32,2018-05-08 12:42:25,2021-05-21 14:37:21,,Karnataka,Private Enterprise
zcrm_1920545000000171005,zcrm_1920545000000117001,,Active,Gethins Gym,,N,,,,"4th Floor, Jyoti Majestic, Above Blackberry Exclusives, Road No. 2, Banjara Hills",Hyderabad,,"Mr. Satish Paryada is the Master Franchise of Gethins Gym for South India. To give a brief detail on the Gethins Gym, I got in touch with Mr. Jag Chima who is the brain child along with Kris Gethin who is a Celebrity Trainer in India at BodyPower Expo in 2015. After that I developed great association with Mr. Jag Chima & got InBody 270 approved after giving a demo to Kris Gethin & Jag Chima. 

Have installed InBody 270 at their first centre in April at Banjara Hills. Meanwhile, during this Physique Global tour I have had a discussion with Mr. Jag Chima and have emphasised on procuring InBody 570. While, Mr. Chima is quite interested in InBody 570, he has mentioned that the final approval will come from Mr. Satish Paryada who is the master franchise for Gethins Gym in South India. 

I am meeting Mr. Jag Chima in Mumbai on 8th June, 2016 during my upcoming business trip & will get to know their decision on the same.",,,,zcrm_1920545000000117001,zcrm_1920545000000097003,2016-06-07 04:22:57,2018-05-08 12:42:25,2021-07-23 17:52:32,,Andhra Pradesh,Fitness
zcrm_1920545000000171029,zcrm_1920545000000117001,,Active,F 45 Fitness & Health Club,,South,,,,"25, Concourse, Whitefield ITPL",Bangalore,56066,"Met the concerned person Mr. Pradeep from F 45 at Physique Global Tour in Bangalore and he showed interest in InBody devices. He has asked me to send him the details along with the pricing of all the different InBody variants which are appropriate for Fitness centre. 

Upon going through the same, he will make a decision on the same.",,,,zcrm_1920545000000117001,zcrm_1920545000000097003,2016-06-07 04:38:13,2018-05-08 12:42:25,2021-07-23 17:52:32,,Karnataka,Fitness
zcrm_1920545000000171053,zcrm_1920545000000117001,,Active,Apple Fitness (Bangalore Centre),,South,,,,,Bangalore,,"Apple Fitness is another upcoming Corporate Fitness chain which has got 3 centres in Bangalore and they are coming up with 3 more centers within next one year. Mr. Kiran is the owner of this brand and I met him at the Physique Global City tour in Bangalore as he attended the seminar. He is using InBody 230 previously and now wants to purchase InBody 270 for his upcoming centre. 

Have provided him with all the information regarding InBody 270 along with the pricing.",,,,zcrm_1920545000000117001,zcrm_1920545000000097003,2016-06-07 04:46:05,2020-04-08 08:05:36,2021-07-23 17:52:42,,Karnataka,Fitness
zcrm_1920545000000181005,zcrm_1920545000000117001,,Active,Evolve,,West 1,,,,,Bhuwnaeshwar,,Made a cold call to Mr. Tanmay Mishra as we got an inquiry on our website. He is coming up with a fitness center & wanted to know about InBody 230 & InBody 270. I have briefed him about InBody 270 and provided him all the relevant details along with the quotation for InBody 270. He will get back to me shortly after discussing with his team.,,InBody120,,zcrm_1920545000000117001,zcrm_1920545000000097003,2016-06-12 19:26:23,2018-05-08 12:42:25,2018-05-08 12:42:25,,Odisha,Fitness
zcrm_1920545000000182005,zcrm_1920545000001284001,,Active,Fitness Edge Gym,,North,,,,"Block 15 A, Level 8",Phagwara,,"This is a Gym in Lovely Professional University in Phagwara, Punjab. They have been using InBody 170 from last couple of years. Now they want to upgrade to InBody 270 & have inquired about the same. Karn got a call from the customer & I took a follow for the same. They wanted details about InBody 270 along with the pricing. Have shared all the details with them.",,,,zcrm_1920545000000117001,zcrm_1920545000000097003,2016-06-12 20:21:40,2020-04-16 14:22:03,2021-07-23 17:52:32,,Punjab,Fitness
zcrm_1920545000000182032,zcrm_1920545000000117001,,Active,Golds Gym (Pune Franchise),,West 1,,,,,Pune,,Mr. Anil is coming up with a Golds Gym franchise in Pune. Have provided him with the product details along with Golds Gym Corporate pricing. He will be getting back to me shortly.,,,,zcrm_1920545000000117001,zcrm_1920545000000097003,2016-06-12 23:38:31,2018-05-08 12:42:25,2021-07-23 17:52:16,,Maharashtra,Fitness
zcrm_1920545000000182056,zcrm_1920545000000117001,,Active,Gym Owner,,South,,,,,Bangalore,,"Got this inquiry on our website & had a communication with the customer. However, due to lack of budget the customer rejected to go for InBody BCA device.",,,,zcrm_1920545000000117001,zcrm_1920545000000097003,2016-06-13 00:43:36,2018-05-08 12:42:25,2019-02-13 01:11:18,,Karnataka,Fitness
zcrm_1920545000000182080,zcrm_1920545000001530001,Mahesh Gulwani,Active,"Dr Rucha Mehta, Edmo Clinic",,West 2,"111o, Shapath V, Opp. Karnavati club",Ahemdabad,,"111o, Shapath V, Opp. Karnavati club",Ahemdabad,,"Dr. Rucha Mehta is an endocrinologist and inquired about InBody BCA devices. However, due to her budget which was way too long as Rs. 1,00,000/- we could not even offer her InBody 120.",,InBody270,,zcrm_1920545000000117001,zcrm_1920545000016756022,2016-06-13 01:01:37,2020-04-09 22:26:30,2021-07-23 17:52:42,,Gujarat,Clinic
zcrm_1920545000000186005,zcrm_1920545000000117001,,Active,Fit Squad Pvt. Ltd.,,North,,,,,Gurgoan,122008,"Got this lead forwarded by Marcia. Had a word with Mr. Imran Bajaj who is owner of the Gym. After having a telephonic discussion with him, he has requested to send the quotation for InBody 270 along with the product catalog. Upon going through the same he will get back to me.",,,,zcrm_1920545000000117001,zcrm_1920545000000097003,2016-06-14 19:15:30,2018-05-28 23:15:10,2021-07-23 17:52:13,,Haryana,Fitness
zcrm_1920545000000186029,zcrm_1920545000000117001,,Active,Balanced Physiotherapy Centre,,South,,,,,Bangalore,,"Lead forwarded by Marcia. Had a telephonic discussion with Mr. Antony Joseph. He is a Physiotherapist and is running is own private clinic. Since he is beginning weight lost management program at this centre, he is interested in purchasing a BCA device. I initiated talking about InBody 570 however, he mentioned that he does not have that much budget, therefore I have briefed him about InBody 370. He has requested for product catalog and pricing for the same & he will get back to me after sometime.",,,,zcrm_1920545000000117001,zcrm_1920545000000097003,2016-06-14 19:22:26,2018-05-28 23:15:10,2021-07-23 17:52:47,,Karnataka,Private Enterprise
zcrm_1920545000000186053,zcrm_1920545000000117001,,Active,Weight Loss Management Centre,,West 2,,,,,Ahemdabad,,"Got this inquiry on InBody India website. Contacted Mr. Mehul Desai and got to know that her wife is a clinical nutritionist and is planning to set up a Weight Loss Management centre. Mr. Mehul Desai has shown interest in InBody 270, however I have asked him to go for InBody 370. He has mentioned that he will be visiting Delhi shortly and would like to have a demo for both InBody 270 & InBody 370 and then decide on which model to go for.",,,,zcrm_1920545000000117001,zcrm_1920545000000097003,2016-06-14 19:36:02,2018-05-08 12:42:25,2021-07-23 17:52:03,,Gujarat,Clinic
zcrm_1920545000000194005,zcrm_1920545000000117001,,Active,Red Rocks Gym & Spa,,North,,,,,Ghaziabad,,"Got a reference from a Gym trainer & contacted Mr. Vinamra Gupta. He is coming up with a Gym and wants to buy InBody BCA device. He wants to buy InBody 230 & since we have 2 units left in stock, I have quoted him the same. He will get back to me by next week.",,,,zcrm_1920545000000117001,zcrm_1920545000000097003,2016-06-20 01:40:17,2018-05-28 23:15:10,2021-07-23 17:52:47,,Uttar Pradesh,Fitness
zcrm_1920545000000194029,zcrm_1920545000000117001,,Active,Fitness Premier,,West 1,,,,,Mumbai,,"Got this reference through our InBody India website & had a discussion with Mr. Siddharth Rege. He is coming up with a fitness centre in Mumbai with the name Fitness Premier. He is interested in InBody 230 and will be quoting the same as we have 2 units of InBody 230 in stock. 

Since, we will be in Mumbai, the customer has asked me to contact him and may be he will meet us during our stay in Mumbai, discussing about his requirement.",,,,zcrm_1920545000000117001,zcrm_1920545000000097003,2016-06-20 01:46:11,2018-05-28 23:15:10,2021-07-23 17:52:47,,Maharashtra,Fitness
zcrm_1920545000000194053,zcrm_1920545000000117001,,Active,Global Insurance,,West 1,,,,,Mumbai,,"Got this lead on our website. Got in touch with Ms. Puja Parekh who is working in Global Insurance Corporation. This is a Corporate organisation, and they want to buy a portable model (inBody 120) for their employees. I have quoted them InBody 120 and she will get back to me after discussing with the senior management.",,,,zcrm_1920545000000117001,zcrm_1920545000000097003,2016-06-20 01:52:13,2018-05-08 12:42:25,2021-07-23 17:52:47,,Maharashtra,Private Enterprise
zcrm_1920545000000203035,zcrm_1920545000000117001,,Active,Perfect Physio,,North,,,,,Chandigarh,,"Got inquiry from Dr. Rakesh Kumar for InBody 270 for his clinic. He is based in Chandigarh, Punjab and came to Delhi to have a demonstration of InBody 270 and was satisfied with the product. Meanwhile, he mentioned he will organize funds & will inform us in 30 days time for finalization of his order.",,,,zcrm_1920545000000117001,zcrm_1920545000000097003,2016-06-23 13:40:40,2018-05-08 12:42:25,2021-07-23 17:52:11,,Punjab,Private Enterprise
zcrm_1920545000000203061,zcrm_1920545000000117001,,Active,Nutri Charge,,West 1,,,,,Mumbai,,Got this inquiry online on our website. Nutra Charge is basically a food supplement Company owned by Mr. Manoj Kothari in Mumbai. They are interested in purchasing InBody BCA device & use it for evaluation of fitness levels of individuals & sell their food supplements on that basis. Have shared product details of InBody 270 along with the pricing of the same.,,,,zcrm_1920545000000117001,zcrm_1920545000000097003,2016-06-23 13:48:47,2018-05-08 12:42:25,2021-07-23 17:52:47,,Maharashtra,Fitness
zcrm_1920545000000203109,zcrm_1920545000000117001,,Active,Golds Gym (Bhuwaneshwar),,East,,,,,Bhuwnaeshwar,,"Mr. Khatib Rehman is coming up with a Golds Gym in Bhuwnaeshwar, Odisha and he plans to launch the center in August. He will be going for InBody 270 & will place the order once he is ready for his centre's pre-sales in the beginning of August.",,,,zcrm_1920545000000117001,zcrm_1920545000000097003,2016-06-23 14:02:57,2018-05-08 12:42:25,2021-07-23 17:52:47,,Odisha,Fitness
zcrm_1920545000000203133,zcrm_1920545000000117001,,Active,Sports Authority of India - Indian Badiminton Team,,N,,,,,Hyderabad,,"Got inquiry from Dr. Kiran who is a Physiotherapist in Indian Badminton team. They are interested in purchasing InBody BCA device for their Badminton team. While, I tried really hard to convince them to go for InBody 570 as it is the best suited InBody model for their department, but since the budget allocated by the Government is not more than Rs. 5,50,000/- they had no option but to settle down for InBody 270. However, Dr. Kiran has mentioned that may be in next year budget they can put InBody 570 in their budget and acquire the device.",,,,zcrm_1920545000000117001,zcrm_1920545000000097003,2016-06-23 14:17:24,2018-05-21 12:25:17,2021-07-23 17:52:24,,Andhra Pradesh,Public Association
zcrm_1920545000000208005,zcrm_1920545000000117001,,Active,Talwalkars Gym,,South,,,,"JP Nagar , 2nd Phase, 100feet ring road, near Dalmia signal, opp to starbucks",Bangalore,560078,"This is an inquiry forwarded by Marcia. Talwalkars is a Corporate Chain of Gyms in India and few of their centers are already using InBody devices. Mr. Madhukar Talwalkar is the owner of the Gym chain & myself & Marcia have met him as well. Meanwhile, since their Gyms are low budget Gyms, few of the centers opt for Body Composition Analysers.

However, Mr. Harish Kumar is the Operations Manager for South India centers and he is interested in purchasing InBody 270 for his Bangalore centre. Had a telephonic conversation with him & he has requested me to send quotation for InBody 270 along with product catalogs and specifications.",,,,zcrm_1920545000000117001,zcrm_1920545000000097003,2016-06-27 13:58:50,2018-05-08 12:42:25,2021-07-23 17:52:32,,Karnataka,Fitness
zcrm_1920545000000209005,zcrm_1920545000000117001,,Active,Chisel Gym (Bangalore - Vijay Nagar Franchise),,South,,,,Vijay Nagar,Bangalore,560040,"Mr. Raghunandan has taken Chisel Gym franchise in Vijay Nagar, Bangalore & would be directly dealing with the vendors for equipment purchase. I have had a telephonic discussion with him today & have verbally finalized the order for InBody 270. 

Now waiting for the advance payment to have the final confirmation on the order.",,,,zcrm_1920545000000117001,zcrm_1920545000000097003,2016-06-28 19:03:15,2018-05-08 12:42:25,2021-07-23 17:52:08,,Karnataka,Fitness
zcrm_1920545000000217001,zcrm_1920545000001670001,,Active,Endurance Fitness,,West 1,,,,"Shoeb Manzil,2nd Floor, Above State Bank Of India, New Kantwadi Road, Perry Cross/Carter Road, Bandra(West",Mumbai,400050,In Progress,,,,zcrm_1920545000000127001,zcrm_1920545000001670001,2016-07-05 19:31:14,2019-04-02 17:14:19,2021-07-23 17:52:32,,Maharashtra,Fitness
zcrm_1920545000000221005,zcrm_1920545000000117001,,Active,Apollo Group Of Hospitals,,West 1,,,,"No.-287, Swaminarayan Nagar, Off Mumbai-Agra Highway, Panchvati",Nashik,422003,"We have been working on Apollo Group of Hospitals from a long time & proposed InBody 370 for their multiple centers spread across PAN India. Have provided several demo to them along with various meetings with the management in the past,I am hereby glad to inform you all that we have got InBody 370 approved & have got the order from their Nashik, Maharashtra hospital today. This is a good start for us when it comes to Apollo Hospitals & will definitely open doors for us selling more InBody 370's in their other hospitals / clinics across India.

Special credit goes to Karn for his constant support & efforts working closely with Apollo Group of Hospitals, providing them with best possible services along with product detailing & information. This order is a perfect example of team work & I would like to thank Karn for all his efforts & support for this order from Apollo Group of hospitals.",,,,zcrm_1920545000000117001,zcrm_1920545000000097003,2016-07-07 21:02:31,2018-05-08 12:42:25,2021-07-23 17:52:32,,Maharashtra,Hospital
zcrm_1920545000000225005,zcrm_1920545000000117001,,Active,Golds Gym  (Karnal Franchise),,North,,,,"Sector 16, Dusshera Ground, Near Namaste Chowk",Karnal,132001,"The trainer of this upcoming Golds Gym Franchise came to Jalandhar & attended Physique Global Seminar which held on 10th July, 2016. After the seminar the trainer had a discussion with me & fixed up a meeting with the owner for next day. 

I had a meeting with the customer on the way back to Delhi with the owner on 11th July, 2016 and convince them to go for InBody 370 for their centre. They have finalized the order with an advance payment.",,,,zcrm_1920545000000117001,zcrm_1920545000000097003,2016-07-12 05:21:01,2018-05-08 12:42:25,2021-07-23 17:52:16,,Haryana,Fitness
zcrm_1920545000000231009,zcrm_1920545000000117001,,Active,Arvy Hospital,,North,,,,Behind Nehru Stadium,Gurgoan,,"Got this sales enquiry from Johnson & Johnson India employee Mr. Harish who is a friend. 

He introduced me to Dr. Vikram Singh who is a Laparoscopic Surgeon in Aarvy Hospital. Dr. Vikram was saw our devices in VLCC and got interested in purchasing InBody device. However, being an initial setup & budget of Rs. 4 lacs, he has finalized the order for InBody 230 for his department in the hospital during my meeting with him today.",,,,zcrm_1920545000000117001,zcrm_1920545000000097003,2016-07-14 17:51:34,2018-05-08 12:42:25,2021-07-23 17:52:18,,Haryana,Hospital
zcrm_1920545000000238005,zcrm_1920545000000117001,,Active,Diet Centre,,West 2,,,,,Jaipur,,"Called Mr. Bhargava as he inquired about InBody devices on InBody website. His wife is a dietician and is opening up a clinic. However, due to very less budget the customer is not interested as he is looking for cheap devices worth Rs. 20,000/-",,,,zcrm_1920545000000117001,zcrm_1920545000000097003,2016-07-26 14:05:30,2018-09-12 20:17:40,2021-07-23 17:52:47,,Rajasthan,Clinic
zcrm_1920545000000239005,zcrm_1920545000000117001,,Active,Alert Gym,,North,,,,,Jalandhar,,"Got an inquiry from Mr. Navalmeet Sandhu on InBody India website. Had a telephonic discussion with him & he is interested in purchasing InBody 230 for his upcoming fitness centre. Since there are 2 units of InBody 230 available in Contel's stock, I have quoted the same to the customer. 

Mr. Sandhu will get back to us with his decision on the same shortly.",,,,zcrm_1920545000000117001,zcrm_1920545000000097003,2016-07-29 00:00:06,2018-05-08 12:42:25,2021-05-21 14:37:21,,Punjab,Fitness
zcrm_1920545000000239029,zcrm_1920545000011182001,Taukheer Ahmed,Active,Anytime Fitness (Vizag Franchise),,South,,,,,Vizag,,"Got this inquiry on InBody India website. Had a word with Mr. Saliesh who is a franchise owner of Anytime Fitness in Vizag, Andhra Pradesh. He showed interest in InBody 270 and has mentioned that he will discuss with his partner & get back to us.",,InBody270,,zcrm_1920545000000117001,zcrm_1920545000016756022,2016-07-29 00:08:38,2020-12-31 20:17:43,2021-07-23 17:52:42,,Andhra Pradesh,Fitness
zcrm_1920545000000239055,zcrm_1920545000000117001,,Active,Personal Home Use,,West 1,,,,,Mumbai,,"Got another inquiry on InBody India website from Mr. Siddesh. He is an fitness enthusiastic and is thinking of purchasing an InBody device for his personal home use. I have briefed him about InBody 270 & InBody 120 along with the pricing, however considering his budget I think if he plans to purchase he will be settling down for InBody 120.",,,,zcrm_1920545000000117001,zcrm_1920545000000097003,2016-07-29 00:22:32,2018-05-08 12:42:25,2021-07-23 17:52:47,,Maharashtra,Others_Individual
zcrm_1920545000000254007,zcrm_1920545000000097003,,Active,Tathasthu,,South,,,,,Bangalore,,Got this inquiry on online store & forwarded to me by Ken. Contacted Ms. Anita and she is coming up with a wellness center in Bangalore and inquired about InBody 270 for her center. Have shared the product details & pricing with her. She will get back to me after reviewing the information.,,,,zcrm_1920545000000240001,zcrm_1920545000000097003,2016-08-02 15:00:03,2020-04-08 12:44:52,2021-07-23 17:52:42,,Karnataka,Fitness
zcrm_1920545000000256001,zcrm_1920545000000097003,,,P D Hinduja hospital,,West 1,,,,"Veer savarkar marg, Mahim",Mumbai,400016,No Practising of Sports medicine and very rare obesity patient. Refer to Dietaican if any.,,,,zcrm_1920545000000243023,zcrm_1920545000000097003,2016-08-02 16:39:06,2019-03-11 21:11:45,2021-07-23 17:52:32,,Maharashtra,Hospital
zcrm_1920545000000256017,zcrm_1920545000000243023,,,P D Hinduja hospital,,West 1,,,,"Veer Savarkar marg,Mahim",Mumbai,400016,,,,,zcrm_1920545000000243023,zcrm_1920545000000097003,2016-08-02 20:16:02,2018-05-08 12:42:34,2021-05-21 14:37:21,,Maharashtra,Hospital
zcrm_1920545000000258005,zcrm_1920545000000243023,,,P D Hinduja hospital,,West 1,,,,"Veer savarkar marg, Mahim",Mumbai,400016,Disscuss about Inbody 570. But he send the patient for counselling to hospital Dietician,,,,zcrm_1920545000000243023,zcrm_1920545000000097003,2016-08-02 18:18:20,2018-05-08 12:42:34,2021-05-21 14:37:21,,,Hospital
zcrm_1920545000000261001,zcrm_1920545000000243029,,Active,Wockhardt hospital,Other,West 1,,,,,,,,zcrm_1920545000000259001,,,zcrm_1920545000000243029,zcrm_1920545000000097003,2016-08-03 03:10:13,2018-05-08 12:42:34,2021-07-23 17:52:03,,Mumbai,Hospital
zcrm_1920545000000261009,zcrm_1920545000000243029,,Active,Wockhardt hospital,Key person,West 1,,,,,,,,zcrm_1920545000000261005,,,zcrm_1920545000000243029,zcrm_1920545000000097003,2016-08-03 03:26:14,2018-05-08 12:42:34,2021-05-21 14:37:21,,Mumbai,Hospital
zcrm_1920545000000261013,zcrm_1920545000000243029,,Active,Wockhardt hospital,Key person,West 1,,,,,,,Decision maker and key person for making product available in hospital,zcrm_1920545000000261005,,,zcrm_1920545000000243029,zcrm_1920545000000097003,2016-08-03 03:27:05,2018-05-08 12:42:34,2021-05-21 14:37:21,,Mumbai,Hospital
zcrm_1920545000000261025,zcrm_1920545000000243029,,Active,Hinduja khar hospital,Key person,West 1,,,,,,,,,,,zcrm_1920545000000243029,zcrm_1920545000000097003,2016-08-03 22:16:25,2018-05-08 12:42:34,2021-07-23 17:52:13,,Mumbai,Hospital
zcrm_1920545000000264007,zcrm_1920545000000243023,,,Mumbai clinic,,West 1,,,,10th khetwadi mainroad,Mumbai,400004,Call her on phone. She said she is not interested for using of BCA equipments.,,,,zcrm_1920545000000243023,zcrm_1920545000000097003,2016-08-03 19:48:57,2018-05-08 12:42:34,2021-07-23 17:52:32,,,Clinic
zcrm_1920545000000264021,zcrm_1920545000000243029,,Active,Dr Tvacha,Customer,West 1,,,,,,,Discuss about inbody and product,,,,zcrm_1920545000000243029,zcrm_1920545000000097003,2016-08-03 22:31:07,2018-05-08 12:42:34,2021-07-23 17:52:18,,Maharashtra,Clinic
zcrm_1920545000000271005,zcrm_1920545000000243029,,Active,Hinduja khar hospital,,West 1,,,,,,,,,,,zcrm_1920545000000243029,zcrm_1920545000000097003,2016-08-03 22:22:44,2018-05-08 12:42:34,2018-05-08 12:42:34,,Mumbai,Hospital
zcrm_1920545000000271009,zcrm_1920545000000243029,,Active,Dr manjiri insta sculpt,Customer,West 1,,,,,,,,,,,zcrm_1920545000000243029,zcrm_1920545000000097003,2016-08-03 22:26:45,2018-05-08 12:42:34,2021-07-22 17:52:07,,Maharashtra,Clinic
zcrm_1920545000000277001,zcrm_1920545000000243029,,Active,Hiranandani hospital,,West 1,,,,,,,,,,,zcrm_1920545000000243029,zcrm_1920545000000097003,2016-08-04 21:13:13,2018-05-08 12:42:34,2021-07-23 17:52:13,,Mumbai,Hospital
zcrm_1920545000000285001,zcrm_1920545000000243011,Karn Sharma,Active,Apple Fitness (Chikmagalur Centre),,South,,,,,,,,,,,zcrm_1920545000000243011,zcrm_1920545000016756022,2016-08-04 22:34:15,2020-04-09 23:09:33,2021-07-23 17:52:18,,,Fitness
zcrm_1920545000000288031,zcrm_1920545000000097003,,Active,Golds Gym Pune (Franchise),,West 1,,,,,Pune,,"Got a call from Mr. Sumeet who is a Golds Gym franchise owner in Pune. He is an existing franchise who was using iOi 353 from past 4 years. However, now he is keen to use InBody 270 and have asked for the catalog & pricing of the device. I have sent him the same & will wait to hear from him soon.",,,,zcrm_1920545000000240001,zcrm_1920545000000097003,2016-08-05 21:05:34,2018-05-08 12:42:34,2021-07-23 17:52:16,,Maharashtra,Fitness
zcrm_1920545000000293001,zcrm_1920545000000243029,,Active,Shape up clinic,Customer,West 1,,,,,,,,,,,zcrm_1920545000000243029,zcrm_1920545000000097003,2016-08-05 22:17:47,2018-05-08 12:42:34,2021-05-21 14:37:21,,Mumbai,Clinic
zcrm_1920545000000295001,zcrm_1920545000000243029,,Active,Godrej hospital,Other,West 1,,,,,,,,,,,zcrm_1920545000000243029,zcrm_1920545000000097003,2016-08-05 22:26:25,2018-05-08 12:42:34,2021-07-23 17:52:18,,Maharashtra,Hospital
