,S. No.,Month,InBody/service/Dial,Client,Postal code,City,State,Region,Category,Sales Official,Installation Date,Order/ Model Details,LB,BSM,Home health,Accesory,Invoice Details,Actual Value,Ta,Total,PaymenReceive(Rs,BalancAmount,Installation Status,Warraty,Incentive date,6month visit,12month visit,18month visit
13,14,January,I,FIFTH GEAR FITNESS LLP.,,Gujarat,Gujarat,West 2,Fitness ,Mahesh,24.1.18,IB 270,LB,,,,INV1718-0158,205352.86,24647.14,230000.0,230000.0,0.0,,,,,,
14,15,January,S,VLCC WELNESS CENTRE,781001.0,Guwahati,Assam,East,Wellness,Mr. Dawson,24.1.18,Spare Parts,,,,ACCS,INV1718-0159,63420.0,7968.0,71388.0,71388.0,0.0,,,,,,
15,16,January,D,Danz & Aerobic Fitness Studio,517501.0,Tirupathi,Andhra Pradesh,South,Fitness ,Karn,25.1.18,InBody Dial,,,HH,,INV1718-0164,17857.14,2142.86,20000.0,20000.0,0.0,,,,,,
16,17,January,I,ToneFitness,535002.0,Andhra Pradesh,Andhra Pradesh,South,Fitness ,Karn ,25.01.2018,Ib 270,LB,,,, INV1718-0165,241071.43,28928.57,270000.0,180000.0,90000.0,,,,,,
17,18,January,I,MY GYM,502032.0,Hyderabad,Telangana,South,Fitness ,Alamjeet,26.01.2018,Ib 270,LB,,,ACCS, INV1718-0166,241071.43,28928.57,270000.0,100000.0,170000.0,,,,,,
18,19,January,I,The Health Fitness Club ,444704.0,Amravati,Maharashtra,West 1,Fitness ,Anees,29.01.2018,InBody 270,,,,,INV1718-0167,348214.28,41785.72,390000.0,390000.0,0.0,Complete,,,,,
19,20,January,I,Vibes Healthcare Limited,411006.0,Pune,Maharashtra,West 1,Wellness,Chanu,29.01.2018,InBody 270,,,,,INV1718-0171,348214.28,41785.72,390000.0,390000.0,0.0,Complete,,,,,
20,21,January,B,Damodar,560008.0,Bangalore,Karnataka,South,Home Health,Dawson,30.01.2018,IB Band,,,HH,,INV1718-0172,0.0,0.0,0.0,0.0,0.0,,,,,,
21,22,January,I,Springbay Bath Water Pvt. Ltd.,302007.0,Jaipur,Rajasthan,North,Hospitality,Aditi,6.1.18,IB 270,,,,,INV1718-0187,406250.0,48750.0,455000.0,310000.0,145000.0,,,,,,
22,23,January,S,Force Fitness India Pvt Ltd,500081.0,Hyderabad,Karnataka,South,Fitness ,Hitesh,11.01.2018,,,,,,INV1718-0215,12946.43,1553.57,14500.0,14500.0,0.0,,,,,,
23,1,February,B,Umesh Kumar Singh,530018.0,Vishakapattanam,Andhra Pradesh,South,Amazon,Dawson,02.02.2018,InBody Band,,,HH,, INV1718-0173,0.0,0.0,0.0,0.0,0.0,Complete,,,,,
24,2,February,S,Fitness First Noida,201301.0,Nodia,Maharashtra,North,Fitness ,Shubham,02.02.2018,Blutooth USB,,,,ACCS, INV1718-0174,12200.0,2196.0,14396.0,14396.0,0.0,Complete,,,,,
25,3,February,B,Pramod Kumar,201014.0,Gaziabad,Uttar pradesh,North,Amazon,Hitesh,05.02.2018,InBody Band,,,HH,, INV1718-0175,0.0,0.0,0.0,0.0,0.0,,,,,,
26,4,February,K,Clara Healtonation Pvt Ltd,422103.0,Nashik,Maharashtra,West 1,Wellness,Varun,05.02.2018,Inkids_InLab_S50,,,HH,,INV1718-0176,10714.28,1285.72,12000.0,12000.0,0.0,Complete,,,,,
27,5,February,C,Shraddha Gadit,400070.0,Mumbai,Maharashtra,West 1,Convention,Ashwini,06.02.2018,Convention,,,,,INV1718-0178,714.28,85.72,800.0,800.0,0.0,,,,,,
28,6,February,C,Sagar,400070.0,Mumbai,Maharashtra,West 1,Convention,Ashwini,06.02.2018,Convention,,,,,INV1718-0179,714.28,85.72,800.0,800.0,0.0,,,,,,
29,7,February,C,Satish Adepu,400070.0,Mumbai,Maharashtra,West 1,Convention,Ashwini,06.02.2018,Convention,,,,,INV1718-0180,714.28,85.72,800.0,800.0,0.0,,,,,,
30,8,February,C,Vaishali,400070.0,Mumbai,Maharashtra,West 1,Convention,Ashwini,06.02.2018,Convention,,,,,INV1718-0181,714.28,85.72,800.0,800.0,,,,,,,
31,9,February,S,Holy Trinity Venture ,560034.0,Banglaore,Karnataka,South,Medical,Karn,06.02.2018,Power Adapter ,,,,ACCS,INV1718-0182,3571.42,428.58,4000.0,4000.0,0.0,,,,,,
32,10,February,I,ATHLETICA FITNESS LLP,382110.0,Ahmedabad,Gujarat,West 2,Fitness ,Mahesh,16.02.2018,IB 370s,,,,ACCS,INV1718-0185,568750.0,68250.0,637000.0,637000.0,0.0,Completed,,,,,
33,11,February,C,Neha Sewani,,Ahmedabad,Gujarat,West 2,Convention,Ashwini,06.02.2018,Convention,,,,,INV1718-0188,892.86,107.14,1000.0,1000.0,0.0,,,,,,
34,12,February,I,Befastfit Gym,121005.0,Faridabad,Haryana,North,Fitness ,Shubham,25.02.2018,InBody 270,,,,,INV1718-0189,401780.4,48219.6,450000.0,450000.0,0.0,Complete,,,,,
35,13,February,S,World Gym,400077.0,Mumbai,Maharashtra,West 1,Fitness ,Anees,26.02.2018,InBody 230 Result Sheet,,,,ACCS,INV1718-0190,2232.14,267.86,2500.0,2500.0,0.0,,,,,,
36,14,February,I,AAHAR,413130.0,Pune,Maharashtra,West 1,Nutrition,Ayan,28.02.2018,InBody 270,,,,,INV1718-0191,446428.58,53571.42,500000.0,500000.0,0.0,Complete,,,,,
37,15,February,S,Talwalkars Health Complex,400036.0,Mumbai,Maharashtra,West 1,Fitness ,Hitesh,03.02.2018,USB Hardlock 120,,,,ACCS, INV1718-0212,13046.42,1553.58,14600.0,14600.0,0.0,Complete,,,,,
38,16,February,S,Golds Gym ,208002.0,Kanpur,Uttar Pradesh,North,Fitness ,Hitesh,08.02.2018,Services,,,,ACCS, INV1718-0216,4639.83,760.17,5400.0,5400.0,0.0,Complete,,,,,
39,17,February,S,Mission Helath Physiotherapy Centre,380052.0,Ahmedabad,Gujarat,West 2,Medical,Hitesh,25.02.2018,Services,,,,ACCS, INV1718-0217,5487.83,912.17,6400.0,6400.0,0.0,,,,,,
40,1,March,I,C B P DEVELOPERS,,Gujarat,,West 2,Corporate,Mahesh,01.03.2018,InBody 120,,,,ACCS,INV1718-0193,245531.43,29468.57,275000.0,275000.0,0.0,Complete,,,,,
41,2,March,S,Inspire Gym,440009.0,Nagpur,Maharashtra,West 1,Fitness ,Varun,01.03.2018,Flight Case (Inspire Gym),,,,ACCS,INV1718-0194,30625.0,3675.0,34300.0,34300.0,0.0,Complete,,,,,
42,3,March,I,Vibes Healthcare Limited,700006.0,Kolkata,West Bengal,East,Wellness,Chanu,05.03.2018,InBody 270,,,,,INV1718-0195,348242.29,41757.71,390000.0,390000.0,0.0,Complete,,,,,
43,4,March,S,Gold Gym Greater Noida,201308.0,Greater Noida,Uttar Pradesh,North,Fitness ,Tushar ,07.03.2018,Usb Hard Lock Key,,,,ACCS,INV1718-0196,12945.57,1554.43,14500.0,14500.0,0.0,,,,,,
44,5,March,S,JAYPEE HEALTHCARE LTD.,201308.0,Noida,Delhi,North,Wellness,Tushar ,07.03.2018,Usb Hard Lock Key,,,,ACCS,INV1718-0197,12946.43,1553.57,14500.0,0.0,14500.0,,,,,,
45,6,March,I,Rage India Fitness,560038.0,Bangalore,Karnataka,South,Fitness ,Karn,07.03.2018,InBody 270 ,LB,,,,INV1718-0198,419642.86,50357.14,470000.0,470000.0,0.0,Complete,,,,,
46,7,March,I,Swan Genx Projects Private Limited,160055.0,Mohali,Punjab,North,Corporate,Alamjeet,10.03.2018,IB770,,BSM,,,INV1718-0199,1205355.43,144644.57,1350000.0,1220000.0,130000.0,,,,,,
47,8,March,I,Dr.Bansi Saboo,380015.0,Ahmedabad,Gujrat,West 2,Medical,Mahesh,12.03.2018,InBody 270,,,,,INV1718-0200,375026.79,45003.21,420030.0,420030.0,0.0,Complete,,,,,
48,9,March,I,Vibes Healthcare Limited,560034.0,Bangalore,Karnataka,South,Wellness,Chanu,12.03.2018,InBody 270,,,,,INV1718-0201,348214.28,41785.72,390000.0,390000.0,0.0,,,,,,
49,10,March,I,Balaji Fitness Health Club Pvt. Ltd.,125055.0,Sirsa,Haryana,North,Fitness ,Alamjeet,13.03.2018,InBody 270,,,,,INV1718-0202,410615.71,49384.29,460000.0,260000.0,200000.0,,,,,,
50,11,March,I,Aryanbagga Associates Pvt Ltd,110009.0,Delhi,Delhi,North,Corporate,Shubham,19.03.2018,InBody 270,,,,,INV1718-0209,410704.0,49296.0,460000.0,460000.0,0.0,Complete,,,,,
51,12,March,I,Lodhi hotel,110003.0,Delhi,Delhi,North,Hospitality,Shubham,19.03.2018,InBody 270,,,,,INV1718-0210,396420.0,47580.0,444000.0,444000.0,0.0,Complete,,,,,
52,13,March,S,F2 Fun & Fitness India Pvt.Ltd.,400093.0,Mumbai,Maharashtra,West 1,Fitness ,Tushar ,19.03.2018,USB Hard Lock _120,,,,ACCS,INV1718-0211,8919.64,1070.36,9990.0,0.0,9990.0,,,,,,
53,14,March,D,Mr. Vikram,560032.0,Bangalore,Karnataka,South,Home Health,Mr Kenneth,21.03.2018,InBody Dial,,,HH,,INV1718-0213,17947.27,2153.73,20101.0,0.0,20101.0,,,,,,
54,15,March,I,Nikhil Tari Bodybuilding and Fitness Clinic,400067.0,Mumbai,Maharashtra,West 1,Fitness ,Anees,22.03.2018,InBody 270,,,,,INV1718-0214,410687.5,49312.5,460000.0,460000.0,0.0,Complete,,,,,
55,16,March,S,Anytime Fitness Jangpura,110014.0,Delhi,Delhi,North,Fitness ,Tushar ,22.03.2018,Har Lock Key ,,,,ACCS,INV1718-0218,12200.0,2196.0,14396.0,14396.0,0.0,Complete,,,,,
56,17,March,I,Gympac Fitness Systems Pvt Ltd,600017.0,Chennai,Tamil Nadu,South,Fitness ,Mr Kenneth,27.03.2018,InBody 270,,,,,INV1718-0220,348214.29,41785.71,390000.0,390000.0,0.0,Complete,,,,,
57,18,March,B,Purna Chandra Naik,766001.0,Bhawanipatna,Odisha,East,Amazon,Amazon,28.03.2018,InBody Band,,,HH,,INV1718-0222,1250.0,150.0,1400.0,1400.0,0.0,,,,,,
58,,April,,Jammu Hospital,,Jammu,J n K,North,Medical,,01.04.2018,BPBIO,,,,BPBIO,INV1718-0018,0.0,0.0,0.0,0.0,0.0,Complete,,,,,
59,1,April,B,Tarun Gambhir,142022.0,Ludhiana,Punjab,North,Amazon,Amazon,04.04.2018,InBody Band,,,HH,,INV1718-0223,1071.43,128.57,1200.0,1200.0,0.0,,,,,,
60,2,April,I,Mr. Zaman,9320.0,Kabul,Afghanistan,Overseas,Fitness ,Mr Dawson,05.04.2018,InBody 270,LB,,,,INV1718-0224,329285.72,39514.28,368800.0,368800.0,0.0,Complete,,,,,
61,3,April,S,Fifth Gear Fitness,,Ahmedabad,Gujarat,West 2,Fitness ,Mahesh,03.04.2018, Convention,,,,,INV1718-0225,1785.71,214.29,2000.0,2000.0,0.0,Complete,,,,,
62,4,April,B,Dr. Manoj Jadhav,395009.0,Surat,Gujarat,West 2,Amazon,Amazon,04.04.2018,InBody Band,,,HH,,INV1718-0226,1071.43,128.57,1200.0,1200.0,0.0,,,,,,
63,5,April,I,VELLA PRIVATE ISLAND MALDIVES,,Maldives,Maldives,Overseas,Hospitality,Mr Dawson,04.04.2018,InBody 770,LB,,,ACCS,INV1718-0227,1300100.0,,1300100.0,1300100.0,0.0,Complete,,,,,
64,6,April,I,Ameya Fitness Zone,400022.0,Mumbai,Maharashtra,West 1,Fitness ,Ashwini ,05.04.2018,IB 120,,,,ACCS,INV1718-0228,174107.14,20892.86,195000.0,195000.0,0.0,,,,,,
65,7,April,B,Mr.Uttam Kumar,226016.0,Lucknow,Uttar Pradesh,North,Amazon,Amazon,05.04.2018,InBody Band,,,HH,,INV1718-0230,1071.43,128.57,1200.0,1200.0,0.0,,,,,,
66,8,April,B,Manju Malik,,Delhi,New Delhi,North,Amazon,Amazon,05.04.2018,InBody Band,,,HH,,INV1718-0231,1071.43,128.57,1200.0,1200.0,0.0,,,,,,
67,9,April,B,Mr. Ramesh Mummana,560058.0,Bangalore,Karnatka,South,Amazon,Amazon,05.04.2018,InBody Band,,,HH,,INV1718-0232,1071.43,128.57,1200.0,1200.0,0.0,,,,,,
68,10,April,B,Dr. Shivnarayan Tyagi,201005.0,Gaziabad,Uttar Pradesh,North,Amazon,Amazon,05.04.2018,InBody Band,,,HH,,INV1718-0233,1071.43,128.57,1200.0,1200.0,0.0,,,,,,
69,11,April,B,Mr. Divyansh ,226017.0,Lucknow,Uttar Pradesh,North,Amazon,Amazon,05.04.2018,InBody Band,,,HH,,INV1718-0234,1071.43,128.57,1200.0,1200.0,0.0,,,,,,
70,12,April,S,Angel Wellness Pvt Ltd,400053.0,Mumbai,Maharashtra,West 1,Wellness,Dawson,11.04.2018,Services,,,,ACCS,INV1718-00234,20535.72,2464.28,23000.0,23000.0,23000.0,,,,,,
71,13,April,S,ASIAN BARIATICS(Service machine),360001.0,Ahmedabad,Gujarat,West 2,Medical,Mahesh,09.04.2018,InBody 370,,,,,INV1718-0235,22321.43,2678.57,25000.0,0.0,25000.0,Complete,,,,,
72,14,April,I,Amida Fitness Center,411051.0,Pune,Maharashtra,West 1,Fitness ,Ayan ,12.04.2018,InBody 270,,,,,INV1718-0235,377232.14,45267.86,422500.0,422500.0,0.0,,,,,,
73,15,April,I,Silver Sports Club,411033.0,Pune,Maharashtra,West 1,Fitness ,Ayan ,12.04.2018,InBody 270,,,,, INV1718-0236,366071.42,43928.58,410000.0,410000.0,0.0,,,,,,
74,16,April,B,Mr . Rohan Pusalkar,411007.0,Pune,Maharashtra,West 1,Amazon,Amazon,05.04.2018,InBody Band,,,HH,, INV1718-0238,0.0,0.0,0.0,0.0,0.0,Complete,,,,,
75,17,April,I,BANERJIDA FIVE LOTUS RESORTS PVT.LTD,492001.0,Chhattisgarh,MadhyPradesh,West 1,Hospitality,Varun,12.04.2018,InBody 370S,,,,, INV1718-0239,491071.0,58929.0,550000.0,550000.0,0.0,,,,,,
76,18,April,S,R S Wellness,,Ludhiyana,Punjab,North,Wellness,Alamjeet,13.04.2018,InBody Stand,,,,ACCS, INV1718-0240,0.0,0.0,0.0,0.0,0.0,,,,,,
77,19,April,S,InBody India,,Mumbai,Maharashtra,West 1,,Kenneth,17.04.2018,Services,,,,ACCS, INV1718-0241,0.0,0.0,0.0,0.0,0.0,,,,,,
78,20,April,I,VS Hospital,600031.0,Chennai,Tamil Nadu,South,Medical,Karn ,16.04.2018,InBody 370S,LB,,,, INV1718-0242,495625.0,59475.0,555100.0,555100.0,0.0,Complete,,,,,
79,21,April,I,Jaguar Fitness,560076.0,Bangalore,Karnatka,South,Fitness ,Karn ,16.04.2018,InBody 270,LB,,,, INV1718-0243,406250.0,48750.0,455000.0,455000.0,0.0,Complete,,,,,
80,22,April,I,Chillies N Lemon Infra & Hospitality LLP,226006.0,Lucknow,Uttar Pradesh,North,Hospitality,Alamjeet,19.04.2018,InBody 120,LB,,,ACCS, INV1718-0245,205314.29,24685.71,230000.0,230000.0,0.0,Complete,,,,,
81,23,April,I,Physio Fit KEI Industries,122001.0,Gurgaon,Haryana,North,Fitness ,Shubham,24.04.2018,InBody 270,LB,,,, INV1718-0246,409500.0,49140.0,458640.0,458640.0,0.0,,,,,,
82,24,April,I,AKJ ENTERPRISES PRIVATE LIMITED,110092.0,Delhi,Delhi,North,Corporate,Shubham,24.04.2018,InBody 270,LB,,,, INV1718-0247,409500.0,49140.0,458640.0,458640.0,0.0,Complete,,,,,
83,25,April,I,Shri Siddhivinayak Wellness LLP,400052.0,Mumbai,Maharashtra,West 1,Corporate,Anees,27.04.2018,InBody 270,LB,,,ACCS, INV1718-0248,205410.72,24589.28,230000.0,230000.0,0.0,Complete,,,,,
84,26,April,I,Be Fit Be Healthy ,400059.0,Mumbai,Maharashtra,West 1,Fitness ,Ayesha ,27.04.2018,InBody 270,LB,,,ACCS, INV1718-0249,181250.0,21750.0,203000.0,203000.0,0.0,Complete,,,,,
85,27,April,S,InBody europe B V,1101.0,Amsterdam,Netherlands,Overseas,Corporate,,28.05.2018,770 Flight Case,,,,ACCS,INV-000024,17216.32,2347.68,19564.0,19564.0,0.0,,,,,,
86,28,April,I,Yaduvanshi Fitness Club Pvt. Ltd.,333515.0,Jaipur,Rajasthan,North,Fitness ,Alamjeet,30.04.2018,IB 270,,,,ACCS, INV1718-0251,401798.21,48215.79,450014.0,450014.0,0.0,Complete,,,,,
87,1,May,I,Ravissant Gym,110065.0,Delhi,Delhi,North,Fitness ,Shubham,02.05.2018,IB 120,LB,,,ACCS,INV1718-0252,247500.0,29700.0,277200.0,277200.0,0.0,,,,,,
88,2,May,I,Grey Hounds (OPC) Pvt Ltd,530005.0,Vishakapatnam,Andhra Pradesh,South,Government,Alamjeet,02.05.2018,IB 570,LB,BSM,HH,ACCS,INV1718-0254,968750.0,116250.0,1085000.0,1056631.0,28369.0,,,,,,
89,,May,,Abhimanyu Munjal,110048.0,Delhi,New Delhi,North,Amazon,Amazon,02.05.2018,IB Dial,,,HH,,INV1718-0255,17911.61,2149.39,20061.0,20061.0,0.0,,,,,,
90,3,May,I,NCR Foundation,560037.0,Bangalore,Karnataka,South,Corporate,Karn ,05.05.2018,IB 570,LB,BSM,HH,, INV-000001,937500.0,112500.0,1050000.0,1000000.0,50000.0,,,,,,
91,4,May,I, Salvem Health Pvt Ltd,400705.0,Navi Mumbai,Maharashtra,West 1,Medical,Ashwini ,07.05.2018,IB 120,LB,,,ACCS, INV-000002,181250.0,21750.0,203000.0,203000.0,0.0,,,,,,
92,5,May,S, VLCC HEALTH CARE LTD ,560010.0,Bangalore,Karnataka,South,Wellness,Karn ,08.05.2018,Spare Parts,,,,ACCS, INV-000003,46348.71,5689.29,52038.0,52038.0,0.0,,,,,,
93,6,May,I,91 Fitness,395009.0,Surat,Gujarat,West 2,Fitness ,Mahesh,09.05.2018,IB 270,,,,ACCS,INV-000004,379464.29,45535.71,425000.0,250000.0,175000.0,,,,,,
94,7,May,I,NE Infra,781022.0,Guwahati,Assam,East,Corporate,Varun ,09.05.2018,IB270,LB,,,ACCS,INV-000005,400446.43,48053.57,448500.0,448500.0,0.0,,,,,,
95,8,May,I,Road to fitness,700017.0,Kolkata,West Bengal,East,Fitness ,Varun ,09.05.2018,IB 120,LB,,,ACCS,INV-000006,178660.71,21439.29,200100.0,200100.0,0.0,,,,,,
96,9,May,S,DPO's NETT COLLEGE OF PHYSIOTHERAPY,400607.0,Mumbai,Maharashtra,West 1,Medical,Ayesha ,17.05.2018,IB 120,LB,,,ACCS,INV-000009,178560.72,21439.28,200000.0,100000.0,100000.0,,,,,,
97,10,May,S,Knockout Fitness Pvt Ltd,781007.0,Guwahati,Assam,East,Fitness ,Dawson,18.05.201,Spare Parts,,,,ACCS,INV-000010,34900.0,5028.0,39928.0,39928.0,0.0,,,,,,
98,11,May,I,Garuda Vriddhi Wellness Pvt.Ltd.,560011.0,Bangalore,Karnataka,South,Wellness,Karn ,19.05.2018,IB270,LB,,,,INV-000011,380133.93,45616.07,425750.0,190000.0,235750.0,,,,,,
99,12,May,I,Moveza Fitness pvt.ltd,560045.0,Bangalore,Karnataka,South,Fitness ,Karn ,19.05.2018,IB 270,,,,ACCS,INV-000012,500000.0,60000.0,560000.0,560000.0,0.0,,,,,,
100,13,May,I,SSK Gym Chisel,781005.0,Guwahati,Assam,East,Fitness ,Karn ,22.05.2018,IB270,LB,,,,INV-000013,437500.0,52500.0,490000.0,490000.0,0.0,,,,,,
101,14,May,I,TRIM SLIM BODY PRIVATE LIMITED,400053.0,Mumbai,Maharashtra,West 1,Fitness ,Anees,,IB 270,,,,ACCS,INV-000014,401250.0,48750.0,450000.0,450000.0,0.0,,,,,,
102,15,May,B,Ghoongharwala sushila,,Jaipur,Rajasthan,North,Amazon,Amazon,22.05.2018,InBody Band,,,HH,,INV-000015,1071.42,128.58,1200.0,1200.0,0.0,,,,,,
103,16,May,B,Sreeram Sairam Iyer,421004.0,Ulhasnagar,Maharashtra,West 1,Amazon,Amazon,22.05.2018,InBody Band,,,HH,,INV-000018,1071.42,128.58,1200.0,1200.0,0.0,,,,,,
104,17,May,I,Procter & Gamble Home Products Pvt.Ltd.,509228.0,Hyderabad,Telangana,South,Corporate,Alamjeet ,23.05.2018,IB 270,LB,,,ACCS,INV-000019,410704.0,49296.0,460000.0,460000.0,0.0,,,,,,
105,18,May,I,Khanna Hotels Pvt Ltd,400053.0,Mumbai,Maharashtra,West 1,Hospitality,Anees,24.05.2018,IB 120  ,LB,BSM,,ACCS,INV-000020,243750.0,29250.0,273000.0,273000.0,0.0,,,,,,
106,19,May,I,major (Dr.) tilak raj takhtar bds,734301.0,Kalimponga,West Bengal,East,Medical,Varun ,24.05.2018,IB 270,,,,ACCS,INV-000021,399464.71,47935.29,447400.0,447400.0,0.0,,,,,,
107,20,May,D,Mr. Shrutesh Reddy,500081.0,Hyderabad,Telangana,South,Amazon,Amazon,24.05.2018,InBody Dial,,,HH,,INV-000022,17839.28,2140.72,19980.0,19980.0,0.0,,,,,,
108,21,May,I,A2S Fitness,302018.0,Jaipur,Rajasthan,North,Fitness ,Alamjeet,25.05.2018,IB 270,,,,ACCS,INV-000023,395531.43,47468.57,443000.0,443000.0,0.0,,,,,,
109,22,May,I,Everyday Fitness,122003.0,Faridabad,Haryana,North,Fitness ,Arun ,28.05.2018,IB 270,,,,ACCS,INV-000025,348156.43,41843.57,390000.0,260000.0,130000.0,,,,,,
110,23,May,I,Quorum Club LLP,122001.0,Gurugram,Haryana,North,Fitness ,Shubham,28.05.2018,IB 270,LB,,,,INV-000026,396500.0,47580.0,444080.0,444080.0,0.0,,,,,,
111,24,May,I,Star International (Anytime Fitness),110018.0,New Delhi,Delhi,North,Fitness ,Shubham,28.05.2018,IB 120 ,LB,,,ACCS,INV-000027,205650.0,24678.0,230328.0,161000.0,69328.0,,,,,,
112,25,May,I,JP Fitness,411057.0,Pune,Maharashtra,West 1,Fitness ,Ayan,28.05.2018,IB 270,,,,ACCS,INV-000028,366055.36,43944.64,410000.0,0.0,410000.0,,,,,,
113,26,May,S,24-7 Universal Health Club,390024.0,Vadodara,Gujarat,West 2,Fitness ,Mahesh,28.05.2018,InBody Power Adaptor,,,,ACCS,INV-000029,14999.99,1800.01,16800.0,0.0,16800.0,,,,,,
114,27,May,S,Major Dr.Tilak Raj Takhtar ,734301.0,Kalimpong,West Bengal,East,Medical,Varun,29.05.2018,LB,LB,,,,INV-000030,0.0,0.0,0.0,0.0,0.0,,,,,,
115,28,May,I,PLANET 9 FITNESS CENTRE (INDIA) PVT LTD,400070.0,Mumbai,Maharashtra,West 1,Fitness ,Anees,30.05.2018,IB 270,,,,ACCS,INV-000031,374941.08,45058.92,420000.0,200000.0,220000.0,,,,,,
116,1,June,S,VLCC Health Care Limited,110005.0,New Delhi,Delhi,North,Wellness,Mr.Kenneth,01.06.2018,Spare Parts,,,,ACCS,INV-000032,14375.0,1725.0,16100.0,0.0,16100.0,,,,,,
117,2,June,,Star International( Anytime Fitness),110018.0,New Delhi,Delhi,North,Fitness  ,Shubham,01.06.2018,Stand 120,,,,ACCS,INV-000033,0.0,0.0,0.0,0.0,0.0,,,,,,
118,3,June,D,Mr. Prateek,201007.0,Gaziabad,Uttar Pradesh,North,Amazon,Amazon,04.06.2018,InBody Dial,,,HH,,INV-000034,17839.29,2140.71,19980.0,19980.0,0.0,,,,,,
119,4,June,I,Transformers,401208.0,Mumbai,Maharashtra,West 1,Fitness  ,Anees,04.06.2018,IB 120,LB,,,ACCS,INV-000035,177241.08,21268.92,198510.0,198510.0,0.0,,,,,,
120,5,June,I,Martin,500009.0,Secunderabad,Telangana,South,Fitness ,Ayan,06.06.2018,IB 270,,,,ACCS,INV-000036,377232.14,45267.86,422500.0,150000.0,272500.0,,,,,,
121,6,June,S,PLANET 9 FITNESS CENTRE (INDIA) PVT LTD,400077.0,Mumbai,Maharashtra,West 1,Fitness ,Anees,07.06.2018,IB power adaptor,,,,ACCS,INV-000037,4464.28,535.72,5000.0,5000.0,0.0,,,,,,
122,7,June,I,National Institute of Nutrition,500007.0,Hyderabad,Telangana,South,Research,Karn ,07.06.2018,IB 770,LB,,HH,,INV-000038,1160714.29,139285.71,1300000.0,0.0,1300000.0,,,,,,
123,8,June,I,Chetan Lathar,132001.0,Karnal,Haryana,North,Fitness,Alamjeet,08.06.2018,IB 120  ,LB,,,ACCS,INV-000039,180803.57,21696.43,202500.0,122500.0,80000.0,,,,,,
