S. No.,Month,Client,City,State,Region,Category,Sales Official,Installation Date,Order/ Model Details,Serial No.,Invoice Details,Actual Value,Tax ,Total,Payment Status (Rs) ,Payment Status,Installation Status,Warraty,installation,6month visit
7,March,Springbay Bath Water Pvt. Ltd.,Jaipur,Rajasthan,North,Others,Aditi,42818,IB 270 + Samsung ML-2161 ,,INV1718-0136,429245.28,25754.72,455000,150000,30% received,Complete,Done ,Done,Pending
8,March,Montecarlo Limited,Ahmedabad,Gujarat,West 2,Others,Aditi,42818,IB 270 + Samsung ML-2161 ,,INV1617-0073,427358.49,25641.51,453000,453000,100% received,Complete,Done ,Done,Done 
9,March,Sonal Vaidya,Pune,Maharashtra,West 1,Wellness Centre,Ayan,42823,IB 270 + Samsung ML-2161 + LB 120 ,,INV1617-0074,429245.28,25754.72,455000,455000,100% received,Complete,Done ,Done,Done 
10,March,Crown Fitness Pvt.Ltd. ,Kota,Rajasthan,North,Fitness Club,Mayank Talwar,42823,IB 270 S+ LB 120 ,,INV1617-0075,433962.26,26037.74,460000,460000,100% received,Complete,Done ,Done,Done 
1,April,Ravindranath GE MEDICAL ASSOCIATES PVT.LTD.,Chennai,Chennai,South,HealthCare Centre,Karn Sharma ,42835,IB 370 + Samsung ML-2161 + LB 120 ,,INV1718-0001,627358.49,37641.51,665000,665000,100% received,Complete,Done ,Done,Pending
2,April,Fitness Plus,Pune,Maharashtra,West 1,Fitness Club,Ayan,42835,IB 270 S+ LB 120 ,,INV1718-0002,433962.26,26037.74,460000,0,100% pending,Complete,Done ,Done,Pending
3,April,Evolve Fitness,Raipur,Chhattisgarh,East,Fitness Club,Mayank Talwar,42835,IB 120 S+ LB 120 + Stnd 120,,INV1718-0003,254716.98,15283.02,270000,270000,100% received,Complete,Done ,Done,Done 
4,April,Crosstoabs Fitness Pvt Ltd,Panipat,Haryana,North,Fitness Club,Aditi,42850,IB 270 + Samsung ML-2161 ,,INV1718-0004,433962.26,26037.74,460000,460000,60% received,complete,Done ,Done,Pending
5,April,Bihar State Power Holding Company Ltd.,Patna,Bihar,East,Fitness Club,Mayank Talwar,42850,IB 270 + Samsung ML-2161 ,,INV1718-0005,466981.13,28018.87,495000,495000,100% received,Complete,Done ,Done,Pending
6,April,Sports Fit (Jaipur),Jaipur,Rajasthan,North,Fitness Club,Mayank Talwar,42852,IB 270 + Samsung ML-2161 +Wrnty 1year,,INV1718-0009,433962.26,26037.74,460000,460000,100% received,Complete,Done ,Done,Pending
1,May,VLCC Healthcare,Gurgaon,Delhi,North,Wellness Centre,Mayank Talwar,42873,Bluetooth 770+ LB 120 ,,INV1718-0011,282735.85,16964.15,299700,209790,80% received,Pending,Not Done,Not Done,Pending
2,May,Vivak Fitness & Wellness Club,Pune,Maharashtra,West 1,Fitness Club,Ayan,42879,IB 120  + LB 120 + Stand 120,,INV1718-0013,254716.98,15283.02,270000,270000,100% received,Complete,Done ,Done,Pending
3,May,Parkmed Healthcare LLP,Banglore,Karnataka,South,HealthCare Centre,Karn Sharma,42880,IB 370 S + LB 120,,INV1718-0012,542452.83,32547.17,575000,575000,100% received,Complete,Done ,Done,Done 
1,June,Jarma Wellness LLP,Andheri,Maharashtra,West 1,Wellness Centre,Varun Vartak,42891,India Kids Pink+India Kids Skyblue,,INV1718-0014,45283.02,2716.98,48000,48000,100% received,Complete,Done ,Done,Done 
2,June,Eye Sense Herbals Private Ltd,Kolkata,West Benga,East,Wellness Centre,Karn Sharma ,42891,IB 370 S + LB 120 +1Yr warranty,,INV1718-0015,613820.75,36829.25,650650,650650,100% received,Complete,Done ,Done,Pending
3,June,Chisel Fitness LLP,Bill Banglore Shipped Hyderabad,Karnataka,South,Fitness Club,Karn Sharma ,42895,IB 270 + LB 120,,INV1718-0016,424528.3,25471.7,450000,,100% pending,Complete,Done ,Done,Done
4,June,Chisel Fitness LLP,Bill Banglore Shipped Hyderabad,Karnataka,South,Fitness Club,Karn Sharma ,42895,IB 270 + LB 120,,INV1718-0017,424528.3,25471.7,450000,,100% pending,Complete,Done ,Done,Done
5,June,Acelife Fitness LLP,Shillong,Meghalaya,East,Fitness Club,Mayank Talwar,42906,IB 270  + LB 120 +1Yr warranty,,INV1718-0018,433962.26,26037.74,460000,460000,100% received,Complete,Done ,Done,Pending
6,June,amazon Seller Services Private Limited ,Mumbai,Maharashtra,West 1,Other,Kenneth Cha,42907,IB Dial,,INV1718-0019,22789.09,1357.36,24146.45,23980,4548.53 Pending,Complete,Done ,Done,Done
7,June,Asmita Kulkarni,Pune,Maharashtra,West 1,Other,Kenneth Cha,42908,IB Dial,,INV1718-0026,19829.38,1273.53,21102.91,21102.91,100% received,Complete,Done ,Done,Done 
8,June,Agility Fitness,Pune,Maharashtra,West 1,Fitness Club,Ayan,42909,IB 270 + Samsung ML-2161 + LB 120 ,,INV1718-0020,424528.3,25471.7,450000,100000,75% pending,Complete,Done ,Done,Pending
9,June,Volt Energy Club LLP,Bangluru,Karnataka,South,Fitness Club,Karn Sharma,42914,IB 270  + LB 120 ,,INV1718-0021,441509.43,26490.57,468000,468000,100% received,Complete,Done ,Done,Done 
10,June,M D EARTH MOVERS,Itanagar,Arunachal Pradesh,East,Other,Varun Vartak,42915,IB 270 + Samsung ML-2161,,INV1718-0023,490566.04,29433.96,520000,520000,100% received,Complete,Done ,Done,Pending
11,June,Care India,Ludhiana,Punjab,North,Other,Mayank Talwar,42916,IB 270 + Samsung ML-2161 + LB 120 ,,INV1718-0025,424528.3,25471.7,450000,225000,50% pending,Complete,Done ,Done,Pending
1,July,Mona Fitness Centre Private Limited ,Mumbai,Maharashtra,West 1,Fitness Club,Varun Vartak,42926,IB Dial,,INV1718-0028,20322.04,1677.96,22000,22000,100% received,Complete,Done ,Done,Done 
2,July,ARIHANT HEALTH CARE AND FITNESS SOLUTION,Bhilai,Chhattisgarh,East,Fitness Club,Karn Sharma,42926,IB 570 + LB 120,,INV1718-0074,910714.29,109285.71,1020000,770000,75% received,Complete,Done ,Done,Pending
3,July,Haier Fitness World LLP_Gold's gym,Banglore,Karnataka,South,Fitness Club,Karn Sharma,42933,IB 770 Brwn +BSM 170 B+ LB 120 ,,INV1718-0031,1116071.43,133928.57,1250000,1250000,100% received,Complete,Done ,Done,Done 
4,July,Moveza Fitness pvt.ltd,Karnataka,Karnataka,South,Fitness Club,Karn Sharma,42943,IB 270 + Samsung ML-2161,,INV1718-0037,433928.4,52071.6,486000,486000,100% received,Complete,Done ,Done,Pending
5,July,Hero Motocorp Ltd_Neemrana,Neemrana,Rajasthan,North,Other,Karn Sharma,42943,IB 270 +  LB 120 ,,INV1718-0036,425000,51000,476000,486000,100% received,Complete,Done ,Done,Pending
1,August,Oorjaa Fitness & Diet Studio?,Lucknow,Uttar Pradesh,North,Fitness Club,Varun Vartak,42954,IB 270 + Samsung ML-2161,F91603468 + F91603468,INV1718-0039,446875.89,53624.11,500500,500500,100% received,Complete,Done ,Done,Pending
2,August,New Life Homeo Palace,Bhopal,Madhya Pradesh,West 2,Other,Mahesh Gulwani,42956,IB 270,F91602829,INV1718-0044,406250,48750,455000,454970.5,99% received,Complete,Done ,Done,Pending
3,August,SRNC BODYCARE PRIVATE LIMITED?,Kolkata,West Benga,East,Fitness Club,Kenneth Cha/Ayan,42961,IB 270 + Samsung ML-2161,,INV1718-0080,410714.29,49285.71,460000,200000,55% pending,Complete,Done ,Done,Pending
4,August,Alta Food & Fitness Pvt.Ltd.?,Bangluru,Karnataka,South,Fitness Club,Karn Sharma,42963,IB 270 + LB 120,F91602831 +  I11604506,INV1718-0092,425000,51000,476000,476000,100% received,Complete,Done ,Done,Done 
5,August,Hero Motocorp Ltd.,Rajasthan,Rajasthan,North,Other,Karn Sharma,42965,IB 270 + LB 120,F91602832  +  I11604512 ,INV1718-0048,425000,51000,476000,476000,100% received,Complete,Done ,Done,Pending
6,August,Fortis Healthcare Limited,Delhi,Delhi,North,Hospital,Karn Sharma,42971,IB 270 + Samsung ML-2161,F91700549 + Z7AXB8GJ6B00S4 ,INV1718-0050,422500,50700,473200,,100% pending,Complete,Done ,Done,Pending
7,August,Anytime fitness -Dehradun,Dehradun,Uttarakhand ,North,Fitness Club,Varun Vartak,42971,IB 270 + LB 120,F31700164 +  I11700719 ,INV1718-0052,241071.43,28928.57,270000,270000,100% received,Complete,Done ,Done,Done 
8,August,"Nomura Services India Pvt Ltd, 10th Floor, Nomura Building, Off High Street, Hiranandani Business Park,  Powai -400076",Mumbai,Maharashtra,West 1,Other,Varun Vartak,42976,IB 270 + LB 120,F91700561 +   I11604510,INV1718-0053,383035.48,45965.52,429001,429001,100% received,Complete,Done ,Done,Done 
9,August,"chisel Gym, ludhiana",Bangluru,Karnataka,South,Fitness Club,Karn Sharma,42978,IB 270 + LB 120,F91700566 +  I11604507,INV1718-0056,381696.43,45803.57,427500,,100% pending,Complete,Done ,Done,Done 
10,August,MBV Fitness Solutions Pvt Ltd,Bill Mysore Ship Banglore,Karnataka,South,Fitness Club,Karn Sharma,42978,IB 270 + LB 120,F91700559 +  I11604513 ,INV1718-0060,357142.86,42857.14,400000,400000,100% received,Complete,Done ,Done,Done 
11,August,Mr Balwant Singh/Gold gym Delhi,Delhi,Delhi,North,Fitness Club,Shubham Tonk,42978,IB 270 + Samsung ML-2161,F91700548 +   Z7AXB8GJ6B00DL,INV1718-0058,401779.29,48220.71,450000,,100% pending,Complete,Done ,Done,Done 
12,August,Naresh Kumar/Fitness First,Delhi,Delhi,North,Fitness Club,Shubham Tonk,42978,IB 270 + Samsung ML-2161,F91700567  +   Z7AXB8GJ6B00N8,INV1718-0059,410714.29,49285.71,460000,,100% received,Complete,Done ,Done,Done 
1,September,Mr Niranjan Patil/Pride Portal,Pune,Maharashtra,West 1,Other,Ayan Roy,42983,IB 120+LB 120+STND 120,F31700498 +  I11700717,INV1718-0083,255535.71,14464.29,270000,270000,100% received,Complete,Done ,Done,Pending
2,September,Sushil Kumar(9741134074)/Chisel Fitness Centre_Pitampura ,Delhi,Delhi,North,Fitness Club,Karn Sharma,42985,IB 270 + LB 120,F91602830 +  I11604518,INV1718-0076,381696.43,45803.57,427500,,100% pending,Complete,Done ,Done,Pending
3,September,Rahul Bane/Fitness First,Mumbai,Maharashtra,West 1,Fitness Club,Anees Mukhtar,42990,IB 270 + Samsung ML-2161,F91700577 +   Z7AXB8GJ6B00WL,INV1718-0067,406250,48750,455000,455000,100% received,Complete,Done ,Done,Done 
4,September,Mr Vipul/NEE Component Private Limited,Mumbai,Maharashtra,West 1,Other,Varun Vartak,42992,IB 270 + Samsung ML-2161,F91700573 +  Z7AXBGJ7B001A,INV1718-0068,410718.74,49286.26,460005,460005,100% received,Complete,Done ,Done,Done 
5,September,Nitro Gym,Pune,Maharashtra,West 1,Fitness Club,Ayan Roy,42996,IB 270 + Samsung ML-2161,F91700572 + Z7AXBGJ6B00XE,INV1718-0069,357151.78,42858.22,400010,200000,50% pending,Complete,Done ,Done,Done 
6,September,Anytime Fitness,Delhi,Delhi,North,Fitness Club,Shubham Tonk,42997,IB 120+LB 120+STND 120,F31700490 +  I11700718,INV1718-0070,241071.43,28928.57,270000,270000,100% received,Complete,Done ,Done,Done 
7,September,Gethin Gym ,Mumbai,Maharashtra,West 1,Fitness Club,Mayank Talwar,42999,IB 770 + Samsung ML-2161,I81700189  +   Z7AXB8GJ6B000D,INV1718-0071,1098214.28,131785.72,1230000,230000,80% pending,Complete,Done ,Done,Pending
8,September,Thriveni Earthmovers,Bill Odisha Ship Solan,Odisa,East,Other,Varun Vartak,42999,IB 270 + Samsung ML-2161,F91700558 +   Z7AXB8GH9B004H,INV1718-0049,410718.75,49286.25,460005,460005,100% received,Complete,Done ,Done,Pending
9,September,The Eatwell Plate,Chandigarh,Punjab,North,Diet Clinic,Shubham Tonk,42999,IB 270 + Samsung ML-2161 + BSM 170 B,F91700575 +  Z7AXB8GJ7E00H4 +  I71600220,INV1718-0072,468728.57,56271.43,525000,525000,100% received,Complete,Done ,Done,Pending
10,September,Mr. Akash Mundada(Bal Kakaji Fitness),Latur,Maharashtra,West 1,Fitness Club,Varun Vartak,43006,IB 270 + Samsung ML-2161,F91700700 +   Z7AXB8GJ6B0018,INV1718-0075,410718.74,49286.26,460005,460005,100% received,Complete,Done ,Done,Pending
1,October,Dr Mahendra ,Goa,Goa,West 1,Hospital,Varun Vartak,43012,IB 270 + Samsung ML-2161,F91700690 +  Z7AXB8GJ6B00NW,INV1718-0078,357500,42900,400400,400400,100% received,Complete,Done ,Done,Pending
2,October,Next Level Fitness,Punjab,Punjab,North,Fitness Club,Shubham Tonk,43014,IB 270+LB 120,F91700571 +  I11605226,INV1718-0093,410553.57,49446.43,460000,460000,100% received,Complete,Done ,Done,Pending
3,October,L & K Wellness Pvt Ltd,Mumbai,Maharashtra,West 1,Wellness Centre,Kenneth Cha,43020,IB 270 + Samsung ML-2161 + BSM 170 B,,INV1718-0077,1118214.92,131785.72,1250000.64,625000,50% Pending,Complete,Done ,Done,Pending
4,October,Pradip Pathak / Reliance Ports and Terminals Ltd (Engineering & Construction Div),Mumbai,Maharashtra,West 1,Other,Anees Mukhtar,43025,IB 270 + Samsung ML-2161,F91700565 +  Z7AXB8GJ6B00PB,INV1718-0087,468000,56160,524160,,100% Pending,Complete,Done ,Done,Pending
5,October,Smart Metabolic / Max Smart Super Specialist Hospital,Delhi,Delhi,North,Wellness Centre,Shubham Tonk,43025,IB 270 + Samsung ML-2161,F91700564 +   Z7AXB8GJ6B00R3,INV1718-0089,428464.29,51535.71,480000,480000,100% received,Complete,Done ,Done,Pending
6,October,Rohan / Moveza Fitness Pvt Ltd,Bangluru,Karnataka,South,Fitness Club,Karn Sharma,43025,IB 270 + Samsung ML-2161,F91603516 +   Z7AXB8GJB001AW,INV1718-0094,410000,49200,459200,200000,50% Pending,Complete,Done ,Done,Pending
7,October,Yashoda Hospital,Hyderabad,Telangana,South,Hospital,Karn Sharma,43031,IB 570+LB 120,G61701214 +   I11605239,INV1718-0090,803568,96432,900000,900000,100% received,Complete,Done ,Done,Pending
8,October,Anytime Spar Fitness,Jamshedpur,Jharkhand,East,Fitness Club,Varun Vartak,43031,IB 120+LB 120+STND 120,F31701650 +   I11605220,INV1718-0091,241071.43,28928.57,270000,270000,100% received,Complete,Done ,Done,Pending
9,October,Mysore Univercity,Mysore,Karnataka,South,University,Karn Sharma,43033,IB 770+LB 120+BSM 170 B,I81700271  +  I11605232 +  I71600233,INV1718-0096,1460714.2,175285.8,1636000,,100% Pending,Complete,Done ,Done,Pending
10,October,Nakul Sohi,Pune,Maharashtra,West 1,Other,Ayan Roy,43039,IB Dial,G51702914,INV1718-0101,18928.57,1071.43,20000,,100% Pending,Complete,Done ,Done,Pending
1,November,R S Wellness,Ludhiana,Punjab,North,Wellness Centre,Alamjeet,43045,IB 120+ LB 120,F31701649 +  I11605238,INV1718-0103,241071.43,28928.57,270000,150000,50% Pending,Complete,Done ,Done,Pending
2,November,Olympic Gold Quest,Bill Mumbai Ship Delhi,Maharashtra,West 1,Other,Mahesh Gulavani,43045,IB 120+ LB 120,,INV1718-0104,241071.43,28928.57,270000,270000,100% received,Complete,Done ,Done,Pending
3,November,Anytime Fit Zone,Srinagar,Jammu & Kashmir,North,Fitness Club,Varun Vartak,43048,IB 270 + SMSNG ML 2021,F91700563 +   0HI5B8GJ8F0134,INV1718-0108,410718.75,49286.25,460005,460005,100% received,Complete,Done ,Done,Pending
4,November,Veda Fitness,Mumbai,Maharashtra,West 1,Fitness Club,Dawson Kim,43048,IB 770+LB 120 + BSM 170 B + Printer,C71700222 +  I11605222 +  I71600238 +  0H15B8GJ8F0110,INV1718-0109,1241071.42,148928.58,1390000,595000,60% Pending,Complete,Done ,Done,Pending
5,November,Golds Gym Jorhat,Jorhat,Assam,East,Fitness Club,Varun Vartak,43054,IB 270 + SMSNG ML 2021,F91700542 +  0HI5B8GJ8F011C,INV1718-0111,410718.75,49286.25,460005,330000,80% received,Complete,Done ,Done,Pending
6,November,M/s. Krypton Corp.,Mumbai,Maharashtra,West 1,Fitness Club,Varun Vartak,43056,IB 270 + LB 120 + SMSNG ML 2021,F91700574  +  0HI5B8GJ8F00QD  +  I11605235,INV1718-0112,392901.78,47148.22,440050,220025,50% Pending,Complete,Done ,Done,Pending
7,November,Anytime Fitness Jaipur,Jaipur,Rajasthan,North,Fitness Club,Varun Vartak,43056,IB 270 + SMSNG ML 2021,,INV1718-0113,410718.75,49286.25,460005,365000,80% received,Complete,Done ,Done,Pending
8,November,Jammu Hospital,Jalandar,Punjab,North,Hospital,Dawson Kim,43060,IB 770+LB 120 + BSM 170 B,I81700273 +  I71600221 +   B81701114,INV1718-0117,1428571.42,171428.58,1600000,800000,50% Pending,Complete,Done ,Done,Pending
9,November,Gympac Fitness Systems Pvt Ltd,Chennai,Chhennai,South,Fitness Club,Hitesh,43062,IB Dial,,INV1718-0118,16964.29,2035.71,19000,,100% Pending,Complete,Not Done ,Not Done,Pending
10,November,BPV Fitness and Gym Club LLP,Assam,Assam,East,Fitness Club,Varun Vartak,43063,IB 270 + SMSNG ML 2021,F91700498 +  0H158GJ8F01B5,INV1718-0119,464285.71,55714.29,520000,200000,60% Pending,Complete,Done ,Done,Pending
11,November,Anytime Fitness Jaipur,Jaipur,Rajasthan,North,Rajasthan,Varun Vartak,17/11/2017,IB 270,,?INV1718-0161,651790.18,78214.82,730005,730005,,,,,
12,November,Hero Motocorp Ltd.,Haridwar,Uttarakhand ,North,Other,Dawson Kim,43069,IB 270 + LB 120  ,F91700560 +  I11605229,INV1718-0123,425000,51000,476000,,100% Pending,Complete,Done ,Done,Pending
1,December,RNFS FITNESS AND SPA CENTRE LLP,Manipur,Manipur,East,Fitness Club,Varun Vartak,43073,IB 270 + Samsung ML-2161,F91700696 +   0H158GJ8F00RB,INV1718-0124,410718.75,49286.25,460005,460005,100% received,Complete,Done ,Done,Pending
2,December,Dwarika Healthcare,Ahmedabad,Gujarat,West 2,Healthcare Centre,Mahesh Gulavani,43073,IB 270 + LB 120,F91700568  +  I11605231,INV1718-0125,366250,43950,410200,200000,50% Pending,Complete,Done ,Done,Pending
3,December,Telangana Police Academy,Telangana,Telangana,South,Police Academy,Hitesh Ambavkar,43075,USB HASP 120 +USB Host,,INV1718-0126,23500,2820,26320,26320,100% received,Complete,Done ,Done,Pending
4,December,Aum Care LLP,Juhu,Maharashtra,West 1,Other,Anees Mukhtar,43077,IB 120 + LB 120,F31701657  +  I11705336,INV1718-0127,241071.43,28928.57,270000,135000,50% Pending,Complete,Done ,Done,Pending
5,December,Grey Anatomy (OPC) private limited (,Punjab,Punjab,North,Other,Anees Mukhtar,43082,IB 270 + Samsung ML-2161,,INV1718-0129,406250,48750,455000,225000,50% Pending,Complete,Done ,Done,Pending
,December,Ozone Integrated Healthcare Centre,Banglore,Karnataka,South,Healthcare Centre,Karn Sharma,43087,IB 270 + BSM 170 B +  SMSNG ML 2021,F91704833 +  I7100257 +  I11605234,INV1718-0131,429000,51480,480480,100000,80% Pending,Complete,Done ,Done,Pending
6,December,SUKAVAN & KUNAL,Bangluru,Karnataka,South,Other,Karn Sharma,43088,IB 270 + LB 120,F91704851 +  I11605224,INV1718-0133,437500,52500,490000,250000,55% received,Complete,Done ,Done,Pending
7,December,Altamed Clinic LLP,Durgapur,West Benga,South,Wellness Clinic,Ayan,43088,IB 120 + LB 120,F31701914 +  I11705333,INV1718-0132,232142.86,27857.14,260000,130000,50% Pending,Complete,Done ,Done,Pending
,December,Fitness First Noida,Noida,Delhi,North,Fitness ,Shubam,43115,IB270,F91704830,INV1718-0162,430553.57,49446.43,480000,480000,0,,,,
